child_id,current_variable,current_elom,new_variable,new_elom,relevant_category_change,variable
ID_GQ6ONJ4FP,12.0,47.38370910864646,10.0,44.19772796065272,Green to Yellow,teacher_emotional_total
ID_1U7GDTLRI,7.0,45.44118554105833,10.0,48.0702239369892,Yellow to Green,teacher_emotional_total
ID_C9RZNXMYF,12.0,49.70468702720077,10.0,45.02969988084993,Green to Yellow,teacher_emotional_total
ID_WYP2V4JWK,12.0,36.1252272353482,10.0,35.83196549093112,Yellow to Red,teacher_emotional_total
ID_G8LXFG5SP,7.0,45.04552987715635,10.0,46.809689766819176,Yellow to Green,teacher_emotional_total
ID_XT8I6HEVP,8.0,54.29999047461205,9.0,54.79052203223576,Yellow to Green,teacher_emotional_total
ID_Y1KKIXLGR,7.0,43.41382781136605,10.0,46.37353402453818,Yellow to Green,teacher_emotional_total
ID_TDY04R6W8,11.0,46.359319744705566,10.0,45.07684906528328,Green to Yellow,teacher_emotional_total
ID_T3KMB51H5,12.0,46.64531171542905,10.0,42.39991423615396,Green to Yellow,teacher_emotional_total
ID_ZFKL07EJF,3.0,41.91553378368023,9.0,45.75665062171693,Red to Yellow,teacher_emotional_total
ID_XAZMU3ZTS,2.0,42.06611039487661,10.0,50.607437277641054,Yellow to Green,teacher_emotional_total
ID_QFRDPXGHO,7.0,33.44868617140531,10.0,37.366982298821966,Red to Yellow,teacher_emotional_total
ID_FPEWP519B,6.0,35.48104036533992,10.0,39.38290188765647,Red to Yellow,teacher_emotional_total
ID_0HDGXHXN9,9.0,33.33487297070536,10.0,36.28897368152603,Red to Yellow,teacher_emotional_total
ID_BPY0XS9HE,11.0,47.21840276989839,10.0,44.06704982403034,Green to Yellow,teacher_emotional_total
ID_P2BA7QUTM,12.0,49.00996127687913,10.0,45.923504864715085,Green to Yellow,teacher_emotional_total
ID_IL5M8MQX0,8.0,42.74466505284081,9.0,43.86727282382037,Red to Yellow,teacher_emotional_total
ID_03PTDDHX0,11.0,37.13851159710005,10.0,35.68950760973796,Yellow to Red,teacher_emotional_total
ID_1L514Z0LG,12.0,47.3244791872574,10.0,45.162829900905,Green to Yellow,teacher_emotional_total
ID_UBTFR5FQU,6.0,46.251142135606976,10.0,48.7462932423155,Yellow to Green,teacher_emotional_total
ID_EAEYJDRFV,6.0,31.873028362103327,10.0,36.57001625670625,Red to Yellow,teacher_emotional_total
ID_67RL7W13Z,12.0,54.49952185521868,9.0,52.11161739581076,Green to Yellow,teacher_emotional_total
ID_S20TKH1D5,6.0,46.205342746043,10.0,47.940265543294935,Yellow to Green,teacher_emotional_total
ID_A4PF6WK1U,4.0,38.22330806357977,9.0,44.50591148134802,Red to Yellow,teacher_emotional_total
ID_VQ1ZKPCH4,8.0,44.22866508736157,10.0,47.32705510270828,Yellow to Green,teacher_emotional_total
