child_id,target,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15
ID_0I0999N6S,59.00974694741292,child_observe_total,teacher_emotional_total,child_observe_diligent,child_observe_attentive,teacher_emotional_total_pri_fees_amount_multiply,teacher_emotional_total_pri_fees_amount_pv_multiply,child_gender,child_observe_interested,child_age,teacher_emotional_met,child_dob_month,child_zha,teacher_social_total,teacher_emotional_understand,id_facility
ID_GQ6ONJ4FP,47.38370910864646,child_observe_total,teacher_emotional_total,child_observe_concentrated,child_observe_diligent,teacher_emotional_total_pri_fees_amount_multiply,child_observe_attentive,child_gender,teacher_social_total,child_observe_interested,child_dob_day_mean_enum,teacher_emotional_understand,count_register_year_2018_std_enum,pra_agency_understand,teacher_emotional_total_std,teacher_emotional_met
ID_YZ76CVRW3,46.00735809242647,child_observe_diligent,child_observe_attentive,child_age_mean,child_date_year_std_enum,child_observe_total,child_age_std_enum,data_year_std_enum,count_toilets_children_std_prov,teacher_social_total_mean_enum,child_observe_total_mean,pri_year_mean,child_observe_concentrated,teacher_emotional_understand,child_observe_total_mean_enum,count_toilets_children_mean_prov
ID_BNINCRXH8,69.19685937480622,child_observe_total,child_observe_concentrated,child_age,child_observe_diligent,child_observe_attentive,child_gender,teacher_emotional_total,child_age_child_height_divide,child_years_in_programme,pri_funding_subsidy_mean_enum,child_age_mean,id_facility_n_std,count_register_race_std_enum,count_staff_time_mean_prov,child_age_std_enum
ID_1U7GDTLRI,45.44118554105833,child_observe_total,child_observe_diligent,child_observe_attentive,pri_funding_subsidy_mean_enum,count_register_race_std_enum,pri_fees_amount_pv_std,pri_fees_amount_std_enum,child_enrollment_age,count_toilets_children_mean_prov,teacher_emotional_understand,longitude_mean,obs_classrooms_std_enum,id_ward_mean,child_observe_interested,count_register_race_indian_std
ID_HUPM6GALH,67.05894592654556,child_age,child_age_group,id_facility,child_observe_diligent,ward_best,ses_proxy,child_observe_total,child_age_std_enum,child_observe_attentive,child_age_mean,child_observe_total_mean,child_gender,child_date_month_std,teacher_social_total_mean_enum,child_age_child_height_divide
ID_RLC7D66D6,41.55065418786619,child_observe_total,child_observe_concentrated,child_height,child_observe_diligent,child_observe_attentive,child_zha,pri_separate,child_enrollment_age,child_years_in_programme,child_observe_general,child_observe_interested,teacher_emotional_total,teacher_emotional_met,pra_agency_choice,count_register_year_2020
ID_3IDOXBRX5,43.947317852226455,child_observe_total,teacher_emotional_total,child_observe_diligent,child_zha,child_gender,child_observe_attentive,child_date_month,child_age_child_height_divide,teacher_social_total,child_observe_interested,child_dob_month_mean_enum,teacher_emotional_understand,child_years_in_programme,teacher_emotional_met,obs_materials_12
ID_5HF27TNFX,47.93501812024232,child_observe_total,child_observe_concentrated,child_observe_diligent,child_observe_attentive,child_zha,child_age_std_enum,child_date_year_std_enum,child_age_mean,teacher_social_total_mean_enum,child_observe_total_mean,child_observe_total_mean_enum,teacher_emotional_understand,count_register_year_2020,obs_materials_12,data_year_std_enum
ID_C9RZNXMYF,49.70468702720077,teacher_emotional_total,child_observe_diligent,child_age,child_observe_total,child_observe_attentive,child_enrollment_age,teacher_emotional_met,obs_materials,teacher_social_total,teacher_emotional_understand,teacher_social_nonaggressive,teacher_emotional_total_mean_enum,count_staff_time_full_std_enum,child_observe_total_mean,child_date_day_mean_enum
ID_63GVO6496,57.55781603041062,child_observe_total,child_observe_diligent,child_dob_year_mean,child_date_month,latitude_std_enum,pri_funding_subsidy_mean_enum,child_observe_total_mean,child_observe_attentive,child_gender,count_register_year_2017_mean,child_years_in_programme,child_observe_interested,id_facility_n_std,child_date_month_std,id_facility
ID_MQDKXQO9R,31.976510941118594,child_observe_total_mean,pri_funding_subsidy_mean_enum,child_months_enrolment,count_register_all_std_enum,child_years_in_programme,count_register_race_std_enum,count_register_year_2020,obs_classrooms_std_enum,count_staff_time_full_std_enum,child_observe_total_mean_enum,count_staff_salary_paid_std_enum,id_dc_n_std,count_register_race_african_std,child_zha_mean_enum,teacher_emotional_independent
