child_id,target,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15
ID_0I0999N6S,57.49093376764432,child_observe_total,teacher_emotional_total,child_observe_diligent,child_observe_attentive,teacher_emotional_total_pri_fees_amount_multiply,teacher_emotional_total_pri_fees_amount_pv_multiply,child_gender,child_observe_interested,child_age,id_facility,teacher_emotional_selfstarter,pri_fees_amount_mean_enum,child_dob_month,teacher_social_total,teacher_emotional_understand
ID_GQ6ONJ4FP,48.89011868533527,child_observe_total,teacher_emotional_total,child_observe_concentrated,child_observe_diligent,child_observe_attentive,teacher_emotional_total_pri_fees_amount_multiply,child_gender,child_dob_day_mean_enum,teacher_emotional_understand,child_observe_interested,count_children_present,quintile_std,id_facility,pri_fees_amount,count_register_year_2020
ID_YZ76CVRW3,45.70274916614161,child_observe_diligent,child_observe_total,child_observe_attentive,child_observe_total_mean,pri_year_mean,count_register_gender_female_mean,count_staff_all_mean,child_observe_total_mean_enum,data_year_std_enum,child_date_year_std_enum,child_age_std_enum,pri_fees_amount,child_dob_year,count_register_year_2017_mean,teacher_emotional_understand
ID_BNINCRXH8,69.07661601522884,child_observe_total,child_observe_concentrated,child_age,child_observe_diligent,child_observe_attentive,child_gender,pri_capacity,child_age_child_height_divide,count_register_race_african_std_enum,teacher_emotional_total,child_date_month_std_enum,count_staff_qual_nqf6_9_std_enum,count_staff_gender_female_std_enum,count_staff_qual_nqf4_5_std_enum,id_enumerator_mean
ID_1U7GDTLRI,47.073458383577076,child_observe_total,child_observe_diligent,count_staff_qual_nqf4_5_std_enum,child_observe_attentive,pri_funding_subsidy_mean_enum,obs_materials,pri_fees_amount_std_enum,count_staff_qual_nqf6_9_std_enum,count_register_race_std_enum,id_ward_mean_enum,child_enrollment_age,id_facility,id_ward_mean,count_register_year_2020,count_staff_salary_paid_std_enum
ID_HUPM6GALH,66.9754039051235,child_age,child_age_group,child_observe_total,ses_proxy,ward_best,id_facility,child_age_std_enum,child_observe_diligent,child_observe_attentive,child_gender,child_age_child_height_divide,child_observe_total_mean_enum,child_age_mean,count_staff_all_mean,child_dob_day_std_enum
ID_RLC7D66D6,41.99371507278991,child_observe_total,child_height,child_observe_concentrated,child_observe_diligent,child_observe_attentive,teacher_emotional_total,pri_separate,child_zha,child_enrollment_age,child_years_in_programme,child_observe_general,child_observe_interested,teacher_emotional_total_mean_enum,teacher_social_peers,pra_agency_choice
ID_3IDOXBRX5,44.46447440710702,child_observe_total,teacher_emotional_total,child_zha,child_observe_diligent,child_observe_attentive,child_gender,child_date_month,child_age_child_height_divide,child_years_in_programme,child_observe_interested,child_dob_day_mean_enum,teacher_social_total,count_register_year_2020,obs_materials_12,teacher_social_peers
ID_5HF27TNFX,49.55631655419416,child_observe_total,child_observe_concentrated,child_observe_diligent,child_zha,child_date_year_std_enum,child_observe_attentive,child_dob_year_std,child_observe_total_mean,child_observe_total_mean_enum,count_register_gender_female_mean,child_age_std_enum,count_children_present,obs_materials_12,teacher_emotional_understand,child_dob_year_std_enum
ID_C9RZNXMYF,47.86759903150427,teacher_emotional_total,child_age,child_observe_diligent,child_observe_total,child_observe_attentive,teacher_emotional_total_pri_fees_amount_multiply,obs_materials,pri_fees_amount_mean_enum,teacher_social_nonaggressive,teacher_social_total,teacher_emotional_understand,teacher_social_peers,child_enrollment_age,teacher_emotional_met,count_register_year_2020
ID_63GVO6496,56.90121206195327,child_observe_total,child_observe_diligent,latitude_std_enum,child_date_month,child_observe_attentive,id_facility,child_gender,child_observe_total_mean_enum,child_observe_total_mean,teacher_selfcare_total_std,child_years_in_programme,pri_year_mean,pri_funding_subsidy_mean_enum,child_dob_year_mean,count_register_gender_female_mean
ID_MQDKXQO9R,33.992630800583406,count_register_race_african_std_enum,child_years_in_programme,count_staff_salary_paid_std_enum,count_staff_all_std_enum,child_observe_total_mean_enum,pri_fees_amount_mean_enum,count_register_year_2020,quintile_std,count_staff_gender_female_std_enum,enrollment_duration,teacher_emotional_total_mean_enum,count_register_race_std,child_observe_total_mean,pri_time_open_hours_mean,pri_funding_subsidy_mean
ID_8NHEV4JYV,20.671357806492246,obs_materials,child_dob_day,child_years_in_programme,pri_separate,count_register_gender_female_std,child_observe_total_mean_enum,quintile_std,child_observe_total_mean,count_register_all_std,count_register_year_2020,count_register_gender_std,obs_handwashing_1,pri_year_std,child_date_day_std,count_staff_gender_female_std
