child_id,current_variable,current_elom,new_variable,new_elom,relevant_category_change,variable
ID_1U7GDTLRI,8.0,45.44118554105833,19.0,47.07345838357708,Yellow to Green,child_months_enrolment
ID_B6TIIEIQJ,33.0,47.28711231462549,19.0,45.88264065762537,Green to Yellow,child_months_enrolment
ID_WYP2V4JWK,45.0,36.1252272353482,19.0,34.93415328294527,Yellow to Red,child_months_enrolment
ID_51ON1WCV7,9.0,46.98750635704075,19.0,45.29749653171958,Green to Yellow,child_months_enrolment
ID_ZCMEZ9J1D,,45.31837346454423,,42.74200107161184,Yellow to Red,child_months_enrolment
ID_W1TNT3GRG,,35.7388754667494,19.0,37.72860048165016,Red to Yellow,child_months_enrolment
ID_HLBUOAQYR,,36.261212621832655,19.0,35.22594304689428,Yellow to Red,child_months_enrolment
ID_X97ZIQ7EP,,46.90639602471936,19.0,46.1974682527023,Green to Yellow,child_months_enrolment
ID_T35ZUX9FE,,54.66782899766302,,54.10845305750821,Green to Yellow,child_months_enrolment
ID_911PIXSUB,,42.03095810677131,,43.751344029678286,Red to Yellow,child_months_enrolment
ID_XT8I6HEVP,,54.29999047461205,,54.41293639092276,Yellow to Green,child_months_enrolment
ID_PULJM98PM,,54.20071406970907,,54.98058259045786,Yellow to Green,child_months_enrolment
ID_T3KMB51H5,6.0,46.64531171542905,19.0,45.31758506708318,Green to Yellow,child_months_enrolment
ID_66ZWO6HIR,,45.28964249393943,19.0,47.46610661338449,Yellow to Green,child_months_enrolment
ID_PDCOBP37G,,54.346412454115296,,54.9826382697738,Yellow to Green,child_months_enrolment
ID_FPEWP519B,8.0,35.48104036533992,19.0,38.79143571592733,Red to Yellow,child_months_enrolment
ID_BPY0XS9HE,,47.21840276989839,19.0,46.01600017568482,Green to Yellow,child_months_enrolment
ID_JCP3JRWBL,45.0,46.68180626883692,19.0,44.3316222664326,Green to Yellow,child_months_enrolment
ID_MORZ2BCBD,,33.921013447336705,19.0,36.45970069223939,Red to Yellow,child_months_enrolment
ID_S20TKH1D5,,46.205342746043,19.0,46.49521991302029,Yellow to Green,child_months_enrolment
ID_TH1HZEQ1L,,46.167173934460976,19.0,48.53494418359449,Yellow to Green,child_months_enrolment
ID_TDWA4MQXD,,47.73408024624571,19.0,46.14237134508787,Green to Yellow,child_months_enrolment
ID_WRTKHKODC,8.0,47.86153989884853,19.0,46.074490588456506,Green to Yellow,child_months_enrolment
ID_AA7UQY6OG,9.0,35.71637042176712,19.0,36.26616549336958,Red to Yellow,child_months_enrolment
ID_0DTROXFNI,,53.33006803907292,,54.74875736679066,Yellow to Green,child_months_enrolment
ID_QOL6BJ7RC,,35.46472364037262,19.0,36.79452693831436,Red to Yellow,child_months_enrolment
ID_RFPRWLX2L,,41.7634741570581,,43.43408096900016,Red to Yellow,child_months_enrolment
ID_T4K3COLKL,,45.37816032046514,19.0,47.1410628940175,Yellow to Green,child_months_enrolment
ID_FIV1ORC7S,21.0,36.26050331450961,19.0,35.80279085157503,Yellow to Red,child_months_enrolment
ID_21GYRT63Y,,42.900709608679314,,43.98065303952403,Red to Yellow,child_months_enrolment
ID_FCYFISREV,8.0,44.431987891013264,19.0,47.393010370054334,Yellow to Green,child_months_enrolment
ID_0L77QQ1WY,,35.09612677406327,19.0,36.34698023868872,Red to Yellow,child_months_enrolment
ID_I1V451VGD,,46.51093579304482,19.0,45.44226361698301,Green to Yellow,child_months_enrolment
ID_D0DLKY5QK,,34.61514139045327,19.0,37.428431176942944,Red to Yellow,child_months_enrolment
ID_PPARE41JK,,44.85896769205793,19.0,47.18951941662639,Yellow to Green,child_months_enrolment
ID_NZU52SWUG,,36.15502749237657,19.0,35.14933321765334,Yellow to Red,child_months_enrolment
ID_TBID6SLEK,9.0,46.00681614338599,19.0,47.01443984772202,Yellow to Green,child_months_enrolment
ID_YSMNE6RPY,8.0,37.42084568827412,19.0,35.91462126918815,Yellow to Red,child_months_enrolment
ID_KBU5S1KKP,,36.217986763448366,19.0,35.9519297406643,Yellow to Red,child_months_enrolment
ID_9CMK0NEGO,31.0,36.02453838419922,19.0,35.44470721407292,Yellow to Red,child_months_enrolment
ID_74P63XARN,21.0,37.41229175056722,19.0,35.99245821775625,Yellow to Red,child_months_enrolment
ID_7KI85HYXG,,43.89713638121047,,42.94976706652936,Yellow to Red,child_months_enrolment
ID_DD3A8WU39,45.0,39.09511555187651,19.0,35.79845583318602,Yellow to Red,child_months_enrolment
ID_ODU5PVFTT,,45.16622394633746,19.0,47.67994693780369,Yellow to Green,child_months_enrolment
ID_OJVZD17ZD,8.0,36.29436433406259,19.0,35.899523456993904,Yellow to Red,child_months_enrolment
ID_X639IDIKQ,,55.1180868810724,,53.74730200007983,Green to Yellow,child_months_enrolment
ID_CKGHEV2CA,31.0,49.757435532734135,19.0,46.137964908112046,Green to Yellow,child_months_enrolment
ID_C03R1S4PW,,35.71723217722911,19.0,36.271613167148345,Red to Yellow,child_months_enrolment
ID_T1RT2WDYI,8.0,46.52117497529336,19.0,45.90576126777708,Green to Yellow,child_months_enrolment
ID_FNVAUUKI4,,34.33129351927976,19.0,36.17939147135817,Red to Yellow,child_months_enrolment
ID_MR8STQ2HU,,35.06343187253339,19.0,36.90294695638501,Red to Yellow,child_months_enrolment
ID_03TK2WR12,,46.46299594261345,19.0,44.35871430668247,Green to Yellow,child_months_enrolment
ID_OM8532X9S,,53.22058669567164,,54.40859490123283,Yellow to Green,child_months_enrolment
ID_NFR9ME4WD,,54.66913302777575,,54.293020538400135,Green to Yellow,child_months_enrolment
ID_QKLT1PVDP,,54.938413039056925,,54.10801465123953,Green to Yellow,child_months_enrolment
ID_0WQKDH2C4,9.0,46.17929639338907,19.0,47.64642355742903,Yellow to Green,child_months_enrolment
ID_5BTDTPHAE,21.0,47.44236227193592,19.0,45.71279367093995,Green to Yellow,child_months_enrolment
ID_QACAZVMRI,21.0,44.23683369325069,19.0,48.45656906571189,Yellow to Green,child_months_enrolment
ID_WCSIU2A6G,,46.06192455946184,19.0,46.4506826234353,Yellow to Green,child_months_enrolment
ID_P7U2FFQU5,,32.90090677981257,19.0,36.0377255448027,Red to Yellow,child_months_enrolment
ID_HFDD6CVHG,7.0,34.77087861187511,19.0,36.63431969252103,Red to Yellow,child_months_enrolment
ID_7OPA0UNZX,,35.67336969007002,19.0,36.18426877551708,Red to Yellow,child_months_enrolment
ID_VFBBZ0Q3N,,42.241653265163976,,43.66169899040845,Red to Yellow,child_months_enrolment
ID_54TYS3ERK,,54.99019687092971,,54.14615812941657,Green to Yellow,child_months_enrolment
ID_AK8ALXNKQ,23.0,36.54322943326133,19.0,35.60611377472465,Yellow to Red,child_months_enrolment
ID_DTBWQB2G9,,46.26273476939592,19.0,46.81996918375005,Yellow to Green,child_months_enrolment
ID_QD03BAHNA,8.0,38.24365731613421,19.0,35.22716409190479,Yellow to Red,child_months_enrolment
ID_O5X92ND3Z,12.0,48.62879662623627,19.0,46.0764246777975,Green to Yellow,child_months_enrolment
ID_1B97UN3VT,,54.68369629004326,,52.12944799909911,Green to Yellow,child_months_enrolment
ID_HRH2M6VTV,,35.58022335016149,19.0,36.31367175388223,Red to Yellow,child_months_enrolment
ID_5VE6SH20H,,47.489865599700735,,43.21295669869757,Yellow to Red,child_months_enrolment
ID_AWFWD1XJ0,,53.67068512625546,,55.13208495071084,Yellow to Green,child_months_enrolment
ID_ONNN0S4JT,,53.51587879990677,,54.79823031971995,Yellow to Green,child_months_enrolment
ID_QFNABNPE2,,35.11843182482539,19.0,36.53313166396954,Red to Yellow,child_months_enrolment
ID_13KXVN6I2,8.0,46.88210130820653,19.0,45.79361171268566,Green to Yellow,child_months_enrolment
ID_MVEK3S0K8,,45.33741797598415,19.0,47.15698385480942,Yellow to Green,child_months_enrolment
ID_CQ0S20GVV,9.0,46.45167099529867,19.0,44.12853922632916,Green to Yellow,child_months_enrolment
ID_V319BNHQY,45.0,46.70106762722265,19.0,44.99955124576443,Green to Yellow,child_months_enrolment
ID_XTMB42WOW,6.0,35.4787100117648,19.0,36.41850789639084,Red to Yellow,child_months_enrolment
ID_ALQFKVY1U,,54.023639220124615,,54.51432719839283,Yellow to Green,child_months_enrolment
ID_BUTCK08V6,,45.691202558057945,19.0,47.06312239614118,Yellow to Green,child_months_enrolment
ID_WD0BUMAW3,,54.172009778759886,,55.89873142691537,Yellow to Green,child_months_enrolment
ID_ERPSPY2L2,,52.85638842629648,,55.716667343608,Yellow to Green,child_months_enrolment
ID_XC6342MGF,9.0,46.06041589461851,19.0,47.50482109352664,Yellow to Green,child_months_enrolment
ID_CDRSL8J0U,,45.066423989375615,19.0,46.857122161188045,Yellow to Green,child_months_enrolment
ID_WRY4JJDCY,,44.01731394779913,19.0,46.73056703690326,Yellow to Green,child_months_enrolment
ID_E4X42GKAZ,,44.967877460727074,19.0,46.5949406366321,Yellow to Green,child_months_enrolment
ID_828B3A0L6,32.0,36.69093858355714,19.0,33.94176432582545,Yellow to Red,child_months_enrolment
ID_0K0I72RIY,33.0,35.75968313146745,19.0,36.76453505711763,Red to Yellow,child_months_enrolment
ID_683O3QNJ5,33.0,46.18687922807428,19.0,47.86135629824801,Yellow to Green,child_months_enrolment
ID_EF4C49PI4,6.0,46.18901787967787,19.0,46.8387334586068,Yellow to Green,child_months_enrolment
ID_U9031YKM8,22.0,33.93586729499434,19.0,37.294211625059226,Red to Yellow,child_months_enrolment
ID_912IRXAFP,,45.92093166565439,19.0,46.60727754628445,Yellow to Green,child_months_enrolment
ID_0BNFNRETV,44.0,43.92700574752892,19.0,46.795173478362166,Yellow to Green,child_months_enrolment
ID_QOGK7QE0V,,53.60603866607807,,54.587318326354485,Yellow to Green,child_months_enrolment
ID_C4BUQ5NZL,8.0,35.31768426362953,19.0,37.28189983167993,Red to Yellow,child_months_enrolment
ID_8UH9OOISO,,46.24027989417263,19.0,47.00238827587312,Yellow to Green,child_months_enrolment
ID_AYG0L4VN6,,54.77428945219433,,52.50740879830594,Green to Yellow,child_months_enrolment
ID_8XF2VBGFS,,46.56443432546647,19.0,45.82805250145253,Green to Yellow,child_months_enrolment
ID_TBXK9B9L6,9.0,47.00427771671468,19.0,45.57593013604151,Green to Yellow,child_months_enrolment
ID_2UCKGNAYX,,35.20619054485538,19.0,37.233988187670725,Red to Yellow,child_months_enrolment
ID_H2YNOLULX,,35.55019977405169,19.0,37.07292342006218,Red to Yellow,child_months_enrolment
ID_0WMJX17MM,45.0,47.06171263822138,19.0,43.93738512467655,Green to Yellow,child_months_enrolment
ID_5EZOTNBML,,55.55948166577264,,53.93439765325513,Green to Yellow,child_months_enrolment
ID_3CD21P4OQ,,45.71514647606206,19.0,46.495571566765065,Yellow to Green,child_months_enrolment
ID_ELJ6HF1OD,,53.00561790390206,,54.97421646723981,Yellow to Green,child_months_enrolment
ID_SYGL4TUUO,21.0,45.41254300435322,19.0,48.10413488984071,Yellow to Green,child_months_enrolment
ID_RSGWX3597,,46.16577672931055,19.0,47.14807346601874,Yellow to Green,child_months_enrolment
ID_LARNL745K,,44.0834781485253,19.0,46.372811339658185,Yellow to Green,child_months_enrolment
ID_VX5XN7OIB,,35.087353397318296,19.0,36.31641554475205,Red to Yellow,child_months_enrolment
ID_4R29ZH0P8,,45.95232450211543,19.0,48.52668823915202,Yellow to Green,child_months_enrolment
ID_OZEN44YZ6,,35.730928656239215,19.0,37.70184435108676,Red to Yellow,child_months_enrolment
ID_B9Q1VBHHA,8.0,36.61130282391302,19.0,35.583979669851225,Yellow to Red,child_months_enrolment
ID_P7BJ7C2R4,5.0,46.03448572621701,19.0,46.8580058692142,Yellow to Green,child_months_enrolment
ID_TMVE0RDCA,,42.16357362420439,,44.853671224457926,Red to Yellow,child_months_enrolment
ID_N23G4QKSA,9.0,37.69744264305776,19.0,34.57700139223946,Yellow to Red,child_months_enrolment
ID_U95E8PPI5,,44.27691915901491,19.0,46.45093417387159,Yellow to Green,child_months_enrolment
ID_ILON78OEQ,,47.31792977550572,19.0,45.68814215174464,Green to Yellow,child_months_enrolment
ID_VY6NJ1Y8O,,45.30847707627292,,43.03137045179405,Yellow to Red,child_months_enrolment
ID_JV7H74LTR,,46.90231421218847,19.0,45.34096405438084,Green to Yellow,child_months_enrolment
ID_M52C9A85O,,43.54285277958984,,42.58218775112053,Yellow to Red,child_months_enrolment
ID_TE9JBRMGH,,46.71000221491179,19.0,46.09705748298123,Green to Yellow,child_months_enrolment
ID_OBGT9BDJ2,7.0,46.43343800425221,19.0,46.07262730506756,Green to Yellow,child_months_enrolment
ID_KXC5BWR4G,,55.872834880364216,,53.51308796367184,Green to Yellow,child_months_enrolment
ID_DHDUV4VQZ,,47.37079026887922,19.0,45.48154083716639,Green to Yellow,child_months_enrolment
ID_556OZPMV4,,45.96877499877874,19.0,46.76498370138344,Yellow to Green,child_months_enrolment
ID_BVHH182ZU,9.0,48.62005108868773,19.0,44.5874716820081,Green to Yellow,child_months_enrolment
ID_WTXL3JYU5,9.0,34.34964598551426,19.0,36.144404851275375,Red to Yellow,child_months_enrolment
ID_M1JAZ13UH,,46.101728596153336,19.0,46.81146931751922,Yellow to Green,child_months_enrolment
ID_6FHF8Y0WO,21.0,43.00420211438672,19.0,46.56856542443232,Yellow to Green,child_months_enrolment
ID_EQJRUPX5J,,35.911717190872594,19.0,36.73135844609656,Red to Yellow,child_months_enrolment
ID_NCB54UXDI,5.0,46.162199530878354,19.0,47.32272596192748,Yellow to Green,child_months_enrolment
ID_TLDXNBVC3,7.0,33.816059573187374,19.0,36.40671865580918,Red to Yellow,child_months_enrolment
ID_8FT5W8PVP,7.0,46.84251729557276,19.0,45.21973122611576,Green to Yellow,child_months_enrolment
ID_F3PZEPNYS,,37.59373866560528,19.0,35.43330536868648,Yellow to Red,child_months_enrolment
ID_PQC7F5SPX,,54.14543280356987,,56.25315699149236,Yellow to Green,child_months_enrolment
ID_4O23OOEE7,,36.73199897798316,19.0,35.736252488024085,Yellow to Red,child_months_enrolment
ID_AKZILA2W2,8.0,45.8871131828849,19.0,47.055952677731085,Yellow to Green,child_months_enrolment
ID_MU679Q7YO,21.0,47.29255197857528,19.0,46.23380445347573,Green to Yellow,child_months_enrolment
ID_BA3X6VEXO,,37.14269635405464,19.0,35.791045446724404,Yellow to Red,child_months_enrolment
ID_WBNTU1Q52,,45.33363465322401,19.0,46.4729358441222,Yellow to Green,child_months_enrolment
ID_ONQ7FLTAZ,33.0,46.913743226417765,19.0,45.90485474470586,Green to Yellow,child_months_enrolment
ID_OXROPWLI1,,45.36310329104402,19.0,46.46945696673741,Yellow to Green,child_months_enrolment
ID_4GI2XMZ8T,,42.85593575932837,,43.42325496231931,Red to Yellow,child_months_enrolment
ID_TR0W0UR1Q,,55.54147350886251,,53.1737500182229,Green to Yellow,child_months_enrolment
ID_9WFA4QMBX,24.0,46.83164623904162,19.0,45.75572064853678,Green to Yellow,child_months_enrolment
ID_F58J8CD7M,,42.40045587485508,,45.40976919504594,Red to Yellow,child_months_enrolment
ID_5Q9PAF87W,,45.83793923138321,19.0,47.96154026055167,Yellow to Green,child_months_enrolment
ID_Z5HTGZ9OS,44.0,47.49090131492391,19.0,46.119675404278304,Green to Yellow,child_months_enrolment
ID_8M22EZ8DW,,54.010022622979626,,57.28746458804798,Yellow to Green,child_months_enrolment
ID_N6RG9EOFL,,36.01075294217165,19.0,36.00530567449334,Yellow to Red,child_months_enrolment
ID_9WYQW65IX,,36.046007651627946,19.0,35.77359913600846,Yellow to Red,child_months_enrolment
ID_66T00AP7L,,53.271697974696,,54.69000035398453,Yellow to Green,child_months_enrolment
ID_UDAAY76EZ,7.0,35.418331847552174,19.0,36.16104045327715,Red to Yellow,child_months_enrolment
ID_W9QIONS72,44.0,46.57495455942545,19.0,45.95746048231005,Green to Yellow,child_months_enrolment
ID_U3ZB7DK2M,,37.44950316953882,19.0,35.661989053270986,Yellow to Red,child_months_enrolment
ID_8OAZXQ7WP,,46.46136993556402,19.0,45.64836120581584,Green to Yellow,child_months_enrolment
ID_3XJKYOHOF,9.0,47.036203795456544,19.0,46.26448155957029,Green to Yellow,child_months_enrolment
ID_WSFUGZTEK,,45.615194201495946,19.0,47.18549538960512,Yellow to Green,child_months_enrolment
ID_00WATQ5BZ,,44.02666581868006,19.0,48.16551179024635,Yellow to Green,child_months_enrolment
ID_NNBAHZND9,,42.56977326244965,,43.90373050130168,Red to Yellow,child_months_enrolment
ID_UQ7M3YZIT,,54.48347123708524,,52.583041275461824,Green to Yellow,child_months_enrolment
ID_QETVH4J4Z,7.0,45.95129429988731,19.0,46.75580206727223,Yellow to Green,child_months_enrolment
ID_WKSK5URGW,,46.18050689993487,19.0,48.076501927726966,Yellow to Green,child_months_enrolment
ID_M9RYQ6YRJ,8.0,46.0386098181171,19.0,47.01049291810974,Yellow to Green,child_months_enrolment
