child_id,target,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15
ID_0I0999N6S,52.112548020101464,teacher_emotional_total,child_observe_diligent,child_observe_attentive,teacher_emotional_total_pri_fees_amount_multiply,child_observe_interested,child_gender,child_observe_general,teacher_emotional_total_pri_fees_amount_pv_multiply,pri_fees_amount_std_enum,teacher_emotional_understand,count_staff_all_std,child_zha,count_children_present,pri_fees_amount,child_zha_std
ID_GQ6ONJ4FP,42.431735977900296,teacher_emotional_total,child_observe_concentrated,child_observe_diligent,child_observe_attentive,teacher_emotional_total_pri_fees_amount_multiply,child_observe_interested,child_gender,teacher_emotional_understand,id_facility,child_zha_std,obs_materials_10,count_register_year_2020,teacher_emotional_total_std,teacher_social_cooperate,child_date_day
ID_YZ76CVRW3,46.09902756777656,child_observe_diligent,data_year_std_enum,child_observe_attentive,child_observe_total_mean,child_age_std_enum,count_toilets_children_mean_prov,count_register_year_2017_mean,child_age_mean,child_observe_general,count_register_all_std,child_observe_total_mean_enum,teacher_emotional_understand,child_dob_day_std,pri_time_open_hours_mean,id_facility_n_std
ID_BNINCRXH8,63.22258998349375,child_observe_concentrated,child_age,child_observe_diligent,child_observe_attentive,teacher_emotional_total,child_age_child_height_divide,pri_capacity,child_gender,child_dob_day,count_register_gender_std_enum,child_years_in_programme,child_observe_total_mean,count_staff_all_mean,pri_funding_subsidy_mean_enum,count_staff_all_std_enum
ID_1U7GDTLRI,41.59006613078547,child_observe_diligent,child_observe_attentive,pri_fees_amount_std_enum,count_register_race_std_enum,obs_materials,pri_fees_amount_pv_std,child_enrollment_age,pri_fees_amount_std,count_staff_all_mean,id_ward_mean_enum,count_staff_all_std_enum,child_observe_total_mean,id_ward_mean,id_facility,loc_group
ID_HUPM6GALH,66.8234769879803,child_age,child_age_group,child_age_std_enum,child_observe_diligent,id_facility,ses_proxy,ward_best,child_observe_total,child_observe_attentive,child_age_mean,child_age_child_height_divide,child_gender,count_register_all_std,child_observe_total_mean,teacher_emotional_understand
ID_RLC7D66D6,36.06041173518,child_observe_concentrated,child_observe_diligent,child_height,child_observe_attentive,child_zha,teacher_emotional_total,pri_separate,child_observe_interested,child_years_in_programme,child_enrollment_age,teacher_social_total_mean_enum,pra_agency_choice,count_register_year_2020,teacher_social_assistance,teacher_emotional_independent
ID_3IDOXBRX5,39.79559307162046,teacher_emotional_total,child_zha,child_observe_diligent,child_observe_attentive,child_age_child_height_divide,child_gender,child_observe_interested,child_date_month,child_years_in_programme,child_observe_general,teacher_emotional_understand,child_date_day_mean_enum,child_date_day,obs_materials_12,teacher_social_nonaggressive
ID_5HF27TNFX,46.41927696542235,child_observe_concentrated,child_observe_diligent,data_year_std_enum,child_zha,child_observe_attentive,child_observe_total_mean_enum,child_observe_total_mean,child_zha_std,child_age_mean,teacher_emotional_understand,child_age_std_enum,count_register_year_2020,child_age_std,obs_materials_12,count_children_present
ID_C9RZNXMYF,46.03199042493371,teacher_emotional_total,child_age,child_observe_diligent,child_observe_attentive,child_enrollment_age,child_observe_total_mean,teacher_emotional_understand,child_observe_general,teacher_social_total,obs_materials,teacher_social_total_mean_enum,teacher_social_nonaggressive,teacher_emotional_independent,count_staff_all_std_enum,count_staff_time_full_std_enum
ID_63GVO6496,54.370224015994296,latitude_std_enum,child_observe_diligent,child_observe_attentive,child_date_month,child_observe_total_mean,child_gender,id_facility,pri_time_close_minutes_mean,child_observe_interested,count_register_year_2017_mean,child_years_in_programme,id_ward,child_date_month_std,id_facility_n,child_dob_year_mean
ID_MQDKXQO9R,35.9895668675028,child_months_enrolment,child_observe_total_mean,count_register_race_african_std_enum,count_staff_salary_std_enum,child_years_in_programme,count_staff_gender_female_std_enum,count_register_race_african_std,count_register_race_std_enum,count_register_year_2020,count_staff_time_full_std_enum,count_staff_salary_paid_mean_enum,count_register_all_std_enum,pri_funding_subsidy_mean_enum,count_register_year_2018_std,id_dc_n_std
ID_8NHEV4JYV,25.66463028197853,child_dob_day,obs_materials,child_observe_total_mean,id_facility,pri_separate,child_years_in_programme,child_age_child_height_divide,obs_handwashing,count_children_present_mean,pri_calc_time_open,teacher_selfcare_total_mean_enum,count_register_all_std,count_register_year_2020,count_staff_salary_paid_mean_prov,pri_time_close_minutes_mean
ID_49Q0B09ZE,39.65573211675316,child_age,child_age_group,child_observe_concentrated,child_height,child_observe_diligent,child_observe_attentive,child_observe_interested,child_dob_month,child_observe_general,id_facility,id_ward,count_toilets_children,id_ward_mean,child_age_mean,count_register_year_2020
ID_OFDARJRN8,28.287658248306734,child_height,child_age_child_height_multiply,child_zha,child_gender,teacher_emotional_understand,child_years_in_programme,count_register_year_2020,count_children_present,teacher_emotional_total_mean_enum,child_observe_interested,count_register_year_2018,pra_agency_choice,child_date_month_mean_enum,obs_materials_9,obs_area_3
ID_SUUJWQCUK,59.6898983356774,child_age,child_observe_concentrated,ses_proxy,child_observe_diligent,child_observe_attentive,child_age_group,child_date_month,child_observe_total,ses_cat,child_gender,count_staff_qual_nqf4_5_std_enum,child_observe_general,pri_fees_amount_pv_pri_fees_amount_multiply,id_facility_std_enum,pri_fees_amount_pv
ID_LSRZPR784,49.879407646915666,teacher_emotional_total,child_observe_diligent,child_dob_day,child_observe_total_mean,child_date_month,child_observe_attentive,teacher_emotional_total_pri_fees_amount_multiply,child_observe_total_mean_enum,teacher_emotional_independent,child_date_month_std,child_gender,child_years_in_programme,child_enrollment_age,child_dob_day_mean,teacher_social_nonaggressive
ID_W0L3EEXNX,34.37100488566976,teacher_emotional_total,child_observe_concentrated,child_observe_diligent,child_observe_attentive,child_gender,teacher_emotional_understand,teacher_social_total,obs_materials_12,count_register_year_2020,id_facility,teacher_selfcare_total_mean_enum,teacher_social_nonaggressive,child_dob_month_mean,teacher_emotional_independent,count_register_year_2013_mean_enum
ID_O5WURWYLF,42.51624973087739,child_height,child_observe_total_mean,child_observe_total_mean_enum,count_register_race_other_std_enum,child_gender,child_zha,count_register_year_2020,teacher_emotional_total_count,child_date_day_mean_enum,count_staff_qual_nqf4_5_std_enum,child_date_day_std_enum,child_zha_std,id_facility,count_staff_time_full_std_enum,pri_funding_subsidy_mean_enum
ID_EQAZQ4SZ7,58.82046954963945,child_age,child_observe_concentrated,child_age_group,child_observe_attentive,child_observe_diligent,child_zha,child_date_month,child_observe_interested,child_height,child_observe_general,child_gender,child_date_day_std_enum,child_date_month_std,id_ward_mean,child_age_mean
ID_UXL36DZL7,56.749089334078995,teacher_emotional_total,child_height,child_dob_month,child_age,child_observe_diligent,teacher_emotional_total_pri_fees_amount_multiply,child_date_day_mean_enum,child_date_month,child_observe_attentive,child_zha,child_zha_std,pri_fees_amount,teacher_emotional_total_pri_fees_amount_pv_multiply,child_gender,count_register_year_school_mean
ID_WCDXTO0HT,37.826708882293985,child_height,obs_materials,child_zha,count_register_all_std_enum,count_register_race_std_enum,count_staff_all_std_enum,child_enrollment_age,id_ward_n_std,count_register_year_2020,count_register_year_2018_std_enum,teacher_emotional_total_count,pri_fees_amount_pv_mean_enum,count_staff_time_full_std_enum,count_register_year_2014_mean,count_staff_salary_std_enum
ID_B6TIIEIQJ,40.22755961780776,child_observe_concentrated,child_age,child_observe_attentive,child_observe_diligent,child_months_enrolment,teacher_emotional_total,child_observe_interested,child_years_in_programme,child_observe_general,teacher_emotional_understand,obs_materials,count_staff_gender_female_std_enum,child_age_child_height_multiply,teacher_emotional_total_mean_enum,count_register_year_2020
