child_id,target,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15
ID_0I0999N6S,57.73178868790332,child_observe_total,teacher_emotional_total,child_observe_diligent,child_observe_attentive,teacher_emotional_total_pri_fees_amount_multiply,teacher_emotional_total_pri_fees_amount_pv_multiply,child_observe_interested,child_gender,child_dob_month,teacher_social_total,child_observe_general,teacher_emotional_met,child_age,teacher_emotional_selfstarter,pri_fees_amount_count
ID_GQ6ONJ4FP,47.129545754533964,child_observe_total,teacher_emotional_total,child_observe_concentrated,child_observe_diligent,child_observe_attentive,teacher_emotional_total_pri_fees_amount_multiply,child_gender,child_observe_interested,teacher_emotional_understand,id_facility,teacher_social_total,teacher_emotional_selfstarter,teacher_emotional_total_mean_enum,count_register_year_2020,teacher_emotional_met
ID_YZ76CVRW3,46.56534909604042,child_observe_diligent,child_observe_attentive,child_age_std_enum,child_observe_total_mean,data_year_std_enum,child_date_year_std_enum,pri_year_mean,count_toilets_children_std_prov,child_observe_concentrated,child_dob_day_std,teacher_social_total_mean_enum,child_observe_total,child_age_mean,child_date_month_std_enum,teacher_emotional_selfstarter
ID_BNINCRXH8,69.5865080361583,child_observe_total,child_observe_concentrated,child_age,child_observe_diligent,child_observe_attentive,pri_capacity,child_age_child_height_divide,teacher_emotional_total,child_age_mean,pri_funding_subsidy_mean_enum,child_gender,count_staff_salary_std_enum,child_years_in_programme,count_register_year_grader_mean,child_observe_total_mean
ID_1U7GDTLRI,46.09837879255446,child_observe_total,child_observe_diligent,pri_funding_subsidy_mean_enum,count_register_race_std_enum,child_observe_attentive,obs_materials,child_enrollment_age,id_facility,count_toilets_children_mean_prov,pri_fees_amount_std_enum,longitude_mean,child_observe_interested,pri_fees_amount_pv_std,obs_classrooms_std_enum,teacher_emotional_understand
ID_HUPM6GALH,66.21952364874319,child_age,child_age_group,id_facility,child_observe_diligent,child_age_std_enum,ses_proxy,ward_best,child_observe_total,child_observe_attentive,child_age_mean,child_observe_total_mean,child_age_child_height_divide,child_gender,child_date_month_std,teacher_social_total_mean_enum
ID_RLC7D66D6,40.517724754609894,child_observe_total,child_observe_concentrated,child_height,child_observe_diligent,child_observe_attentive,child_observe_interested,teacher_emotional_total,pri_separate,child_years_in_programme,child_observe_general,child_enrollment_age,teacher_emotional_met,pra_agency_choice,urban,teacher_emotional_independent
ID_3IDOXBRX5,43.588834416940834,child_observe_total,teacher_emotional_total,child_observe_diligent,child_date_month,child_observe_attentive,child_gender,teacher_social_total,child_observe_interested,child_years_in_programme,pri_fees_amount_count,child_age_child_height_divide,teacher_emotional_selfstarter,teacher_emotional_understand,obs_materials_12,teacher_emotional_met
ID_5HF27TNFX,49.0119625872197,child_observe_total,child_observe_concentrated,child_observe_diligent,child_age_std_enum,child_observe_total_mean,child_observe_attentive,child_date_year_std_enum,teacher_social_total_mean_enum,data_year_std_enum,child_date_month_std_enum,count_register_year_2020,child_observe_general,obs_materials_12,id_ward_std,teacher_emotional_understand
ID_C9RZNXMYF,47.70284302349588,teacher_emotional_total,child_age,child_observe_diligent,child_observe_total,child_observe_attentive,teacher_emotional_met,teacher_social_total,obs_materials,child_observe_concentrated,child_enrollment_age,teacher_emotional_understand,teacher_emotional_total_mean_enum,count_staff_time_full_std_enum,teacher_social_nonaggressive,count_register_year_2020
