child_id,current_variable,current_elom,new_variable,new_elom,relevant_category_change,variable
ID_YZ76CVRW3,-1.507299,46.00735809242647,-0.35899317,46.56534909604042,Yellow to Green,child_zha
ID_B6TIIEIQJ,-1.5044471,47.28711231462549,-0.35899317,46.228958999533766,Green to Yellow,child_zha
ID_WYP2V4JWK,0.57377815,36.1252272353482,-0.35899317,35.63864813001777,Yellow to Red,child_zha
ID_51ON1WCV7,1.3907324,46.98750635704075,-0.35899317,45.24210611821775,Green to Yellow,child_zha
ID_W1TNT3GRG,0.44692498,35.7388754667494,-0.35899317,37.87564245234814,Red to Yellow,child_zha
ID_JZEFKYXAV,-0.92492163,37.75480334324418,-0.35899317,35.89433638363162,Yellow to Red,child_zha
ID_X97ZIQ7EP,,46.90639602471936,-0.35899317,45.67665601175411,Green to Yellow,child_zha
ID_GH4W2DKQS,0.34989774,46.69613185040053,-0.35899317,44.81156678335997,Green to Yellow,child_zha
ID_T35ZUX9FE,-1.5929861,54.66782899766302,-0.34956995,54.27500242201474,Green to Yellow,child_zha
ID_911PIXSUB,,42.03095810677131,-0.34956995,44.07276428713288,Red to Yellow,child_zha
ID_T3KMB51H5,0.008264109,46.64531171542905,-0.35899317,43.79439292798281,Green to Yellow,child_zha
ID_BPY0XS9HE,-0.2590062,47.21840276989839,-0.35899317,45.98924572540885,Green to Yellow,child_zha
ID_JCP3JRWBL,0.08820864,46.68180626883692,-0.35899317,44.81233097473118,Green to Yellow,child_zha
ID_67RL7W13Z,,54.49952185521868,-0.34956995,53.95311571668979,Green to Yellow,child_zha
ID_QF1R03ZRV,0.79130065,46.73015903172436,-0.35899317,44.05374671370636,Green to Yellow,child_zha
ID_TH1HZEQ1L,0.022327889,46.167173934460976,-0.35899317,47.28433704348231,Yellow to Green,child_zha
ID_MPIVP43SE,-0.71110666,45.88019595562376,-0.35899317,46.75694995058418,Yellow to Green,child_zha
ID_7USJ9IHUD,-2.37238,46.55867388782498,-0.35899317,44.11201971796087,Green to Yellow,child_zha
ID_25B635P8P,2.531094,46.66371950295122,-0.35899317,46.11400752663117,Green to Yellow,child_zha
ID_QOL6BJ7RC,-1.6195887,35.46472364037262,-0.35899317,36.50707055103638,Red to Yellow,child_zha
ID_4SCRLE2J2,,47.60475792965437,-0.35899317,46.06401745865077,Green to Yellow,child_zha
ID_RFPRWLX2L,-1.4624988,41.7634741570581,-0.34956995,45.183249136755165,Red to Yellow,child_zha
ID_JZC6BR3AN,-0.9490688,46.87447066105568,-0.35899317,46.236107405080936,Green to Yellow,child_zha
ID_SIP0PS2WS,-1.0570477,47.67013462928004,-0.35899317,44.54676973380464,Green to Yellow,child_zha
ID_FIV1ORC7S,-1.687067,36.26050331450961,-0.35899317,34.9644231870555,Yellow to Red,child_zha
ID_A1HJW9DQN,-0.03964153,43.02253840430345,-0.34956995,43.33815401865164,Red to Yellow,child_zha
ID_Y5BAAYH2U,0.15724128,54.82359711380167,-0.34956995,54.09080460700702,Green to Yellow,child_zha
ID_ZG8KT7QG9,0.3778264,36.86884024263766,-0.35899317,34.79916992296669,Yellow to Red,child_zha
ID_L3UNNF5AK,,42.95458175193352,-0.34956995,44.65854812326823,Red to Yellow,child_zha
ID_TBGVVISVG,-0.1760517,48.522266258105695,-0.35899317,45.8048921904838,Green to Yellow,child_zha
ID_D0DLKY5QK,0.26084515,34.61514139045327,-0.35899317,36.93171513451825,Red to Yellow,child_zha
ID_TRGUALWBC,-0.22660892,46.83153638468376,-0.35899317,46.30551057008808,Green to Yellow,child_zha
ID_TJ2X20XOJ,-2.1097178,45.00556942567682,-0.35899317,48.24085157882601,Yellow to Green,child_zha
ID_33BCSMU8B,,45.724311433084296,-0.35899317,46.64854665675884,Yellow to Green,child_zha
ID_ERDTZ7TTK,-1.1408818,36.04806756285405,-0.35899317,35.492018864695176,Yellow to Red,child_zha
ID_2L4P6KZ4S,1.1972076,37.17294365183031,-0.35899317,35.39829207555899,Yellow to Red,child_zha
ID_7M06Y0D8D,-1.4230711,43.19180213770756,-0.34956995,43.73726377418664,Red to Yellow,child_zha
ID_9CMK0NEGO,-0.56580466,36.02453838419922,-0.35899317,34.349532640128615,Yellow to Red,child_zha
ID_JXOFMQBH0,,48.134236888013646,-0.35899317,46.28598342805496,Green to Yellow,child_zha
ID_ODU5PVFTT,0.022327889,45.16622394633746,-0.35899317,47.57837103952886,Yellow to Green,child_zha
ID_LRLNZO2RA,1.1749765,37.923670402067735,-0.35899317,34.98123022494023,Yellow to Red,child_zha
ID_X639IDIKQ,1.9983844,55.1180868810724,-0.34956995,53.95351432173232,Green to Yellow,child_zha
ID_X0LCLSCC1,2.1641726,55.86576942827963,-0.34956995,54.111082033261,Green to Yellow,child_zha
ID_C03R1S4PW,-0.13764529,35.71723217722911,-0.35899317,36.31135788699086,Red to Yellow,child_zha
ID_V3L7MFG2N,0.66963696,55.58295442730841,-0.34956995,53.52811655369373,Green to Yellow,child_zha
ID_96KWMTFDZ,1.3305959,47.62111774902049,-0.35899317,46.14224468520814,Green to Yellow,child_zha
ID_03TK2WR12,,46.46299594261345,-0.35899317,44.76092123144027,Green to Yellow,child_zha
ID_5OAW5SGTV,0.2765544,44.39724834033663,-0.35899317,47.52845143544928,Yellow to Green,child_zha
ID_NFR9ME4WD,,54.66913302777575,-0.34956995,51.735726436013046,Green to Yellow,child_zha
ID_IU5KMM619,0.3732938,47.483673712257065,-0.35899317,46.04462544790305,Green to Yellow,child_zha
ID_QKLT1PVDP,-1.3629985,54.938413039056925,-0.34956995,53.66058182107679,Green to Yellow,child_zha
ID_0WQKDH2C4,-0.7365144,46.17929639338907,-0.35899317,47.80082113627893,Yellow to Green,child_zha
ID_ATU10I7UB,,54.43391536546185,-0.34956995,52.61629151870382,Green to Yellow,child_zha
ID_1IDKCZQXP,-1.9630625,35.64042422710842,-0.35899317,36.04707712501833,Red to Yellow,child_zha
ID_HFDD6CVHG,-0.68366116,34.77087861187511,-0.35899317,36.14293429427794,Red to Yellow,child_zha
ID_7OPA0UNZX,-0.64055693,35.67336969007002,-0.35899317,36.98313061083913,Red to Yellow,child_zha
ID_AK8ALXNKQ,1.4994183,36.54322943326133,-0.35899317,35.52891649175205,Yellow to Red,child_zha
ID_DTBWQB2G9,-0.70034313,46.26273476939592,-0.35899317,46.649150790070905,Yellow to Green,child_zha
