child_id,target,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15
ID_0I0999N6S,58.51100333710317,child_observe_total,teacher_emotional_total,child_observe_diligent,teacher_emotional_total_pri_fees_amount_multiply,child_observe_attentive,count_staff_contract_std_enum,teacher_emotional_total_pri_fees_amount_pv_multiply,child_gender,teacher_emotional_met,child_observe_interested,child_zha_std,teacher_emotional_selfstarter,teacher_emotional_understand,pri_fees_amount_mean_enum,teacher_social_total
ID_GQ6ONJ4FP,46.5010789242093,child_observe_total,teacher_emotional_total,child_observe_concentrated,child_observe_diligent,child_observe_attentive,teacher_emotional_total_pri_fees_amount_multiply,child_gender,teacher_emotional_understand,child_date_day_mean_enum,child_observe_interested,teacher_emotional_met,pra_agency_understand,id_dc_n_std,teacher_emotional_total_std,pri_year_std_enum
ID_YZ76CVRW3,47.298687081738244,child_observe_diligent,data_year_std_enum,child_observe_total_mean,child_observe_total,child_observe_attentive,child_age_std_enum,pri_year_mean,child_date_month_std_enum,count_toilets_children_std_prov,child_dob_day_std,child_date_year_std_enum,child_observe_concentrated,teacher_social_total_mean_enum,count_toilets_children_mean_prov,count_staff_salary_std_enum
ID_BNINCRXH8,69.93899741529833,child_observe_total,child_observe_concentrated,child_age,child_observe_diligent,child_observe_attentive,pri_capacity,pri_funding_subsidy_mean_enum,child_gender,teacher_emotional_total,count_staff_contract_std_enum,child_years_in_programme,child_age_child_height_divide,child_age_std_enum,count_register_race_african_std_enum,count_staff_salary_mean
ID_1U7GDTLRI,46.70283120431633,child_observe_total,child_observe_diligent,child_observe_attentive,pri_fees_amount_std_enum,pri_funding_subsidy_mean_enum,count_staff_time_full_std_enum,pri_fees_amount_pv_std,id_facility,obs_materials,count_toilets_children_mean_prov,longitude_mean,count_register_year_2020,id_ward_mean,child_enrollment_age,count_staff_contract_std_enum
ID_HUPM6GALH,66.65691005776497,child_age,child_age_group,ses_proxy,child_observe_diligent,id_facility,child_observe_total,ward_best,child_observe_attentive,child_age_std_enum,child_observe_total_mean,child_age_mean,child_age_child_height_divide,child_gender,teacher_social_total_mean_enum,child_dob_day_std_enum
ID_RLC7D66D6,41.74437290879246,child_observe_total,child_height,child_observe_concentrated,child_observe_diligent,child_observe_attentive,teacher_emotional_total,child_observe_general,child_years_in_programme,teacher_emotional_met,pri_separate,pra_agency_choice,child_observe_interested,id_dc_n_std,id_ward_std_enum,count_register_year_2020
ID_3IDOXBRX5,46.091014535451706,child_observe_total,teacher_emotional_total,child_zha,child_observe_diligent,child_observe_attentive,child_date_month,child_gender,child_age_child_height_divide,child_years_in_programme,child_observe_interested,child_date_day_mean_enum,teacher_social_total,teacher_emotional_understand,teacher_emotional_met,obs_materials_12
ID_5HF27TNFX,50.22671278739683,child_observe_total,child_observe_concentrated,child_observe_diligent,data_year_std_enum,child_observe_total_mean,child_age_std_enum,child_zha,teacher_social_total_mean_enum,child_observe_attentive,count_register_year_2020,obs_materials_12,child_observe_total_mean_enum,teacher_emotional_understand,child_date_month_std_enum,obs_handwashing_1
ID_C9RZNXMYF,49.63002837762819,teacher_emotional_total,child_age,child_observe_diligent,child_observe_total,child_observe_attentive,obs_materials,teacher_emotional_met,teacher_emotional_understand,pri_fees_amount_mean_enum,teacher_social_total,teacher_social_nonaggressive,child_date_day,teacher_emotional_total_pri_fees_amount_pv_multiply,count_register_year_2020,count_staff_contract_std_enum
ID_63GVO6496,56.914620795239095,child_observe_total,child_date_month,child_observe_diligent,pri_funding_subsidy_mean_enum,id_facility,child_observe_attentive,child_observe_total_mean,latitude_std_enum,child_gender,child_years_in_programme,pri_year_mean,id_ward,child_observe_interested,child_dob_month_std_enum,child_dob_year_mean
ID_MQDKXQO9R,32.229683599799344,pri_funding_subsidy_mean_enum,child_observe_total_mean,child_months_enrolment,count_register_race_african_std_enum,child_years_in_programme,obs_classrooms_std_enum,count_staff_time_full_std_enum,count_register_year_2020,id_dc_n_std,count_staff_all_std_enum,count_staff_contract_std_enum,child_observe_total_mean_enum,obs_handwashing_1,count_register_race_std_enum,child_dob_month_mean_enum
ID_8NHEV4JYV,21.707813814760893,obs_materials,child_dob_day,child_observe_total_mean,child_years_in_programme,pri_calc_time_open,pri_separate,child_age_child_height_divide,id_prov_n,count_register_year_2020,id_dc_n_std,obs_handwashing_1,pri_time_open_hours_std,pri_time_close_minutes_mean_enum,count_staff_salary_paid_mean_prov,id_ward_std_enum
ID_49Q0B09ZE,44.36949832594083,child_observe_total,child_age,child_age_group,child_height,child_observe_concentrated,child_observe_diligent,latitude_longitude_divide,child_observe_general,child_dob_month,child_observe_attentive,id_facility,id_ward,child_date_month_std_enum,count_toilets_children,id_ward_mean
ID_OFDARJRN8,26.292520978675064,child_height,latitude_longitude_divide,child_observe_concentrated,child_gender,child_observe_interested,child_years_in_programme,count_register_year_2020,teacher_emotional_understand,obs_materials,pra_agency_choice,child_age_child_height_divide,obs_outdoor,child_dob_day_std,id_facility_n,count_children_present
ID_SUUJWQCUK,59.01501209300235,child_age,child_observe_total,ses_proxy,child_observe_concentrated,child_observe_diligent,child_date_month,child_observe_attentive,child_age_group,pri_fees_amount,child_gender,pri_fees_amount_pv,count_staff_gender_male_mean_enum,pri_fees_amount_pv_pri_fees_amount_multiply,id_ward_mean,child_date_day
ID_LSRZPR784,52.158593197097204,teacher_emotional_total,child_observe_diligent,child_observe_total_mean_enum,child_observe_attentive,child_observe_total,child_date_month,child_dob_day,child_observe_total_mean,teacher_emotional_total_pri_fees_amount_multiply,child_gender,child_observe_concentrated,count_staff_salary_unpaid_mean_enum,teacher_emotional_met,child_years_in_programme,child_dob_day_mean
ID_W0L3EEXNX,39.13301820312297,child_observe_total,teacher_emotional_total,child_observe_concentrated,child_observe_diligent,child_observe_attentive,teacher_social_total,child_gender,obs_materials_12,teacher_emotional_understand,teacher_emotional_met,count_register_year_2020,teacher_social_nonaggressive,child_date_day,obs_toilet,teacher_social_cooperate
ID_O5WURWYLF,42.18471453620551,child_height,child_observe_total_mean_enum,child_zha,pri_funding_subsidy_mean_enum,child_observe_total_mean,child_observe_concentrated,child_date_day_mean_enum,child_gender,id_facility,child_zha_std,count_register_year_2020,count_register_race_other_std_enum,teacher_social_assistance,count_children_present,count_register_race_other_mean_enum
