child_id,current_variable,current_elom,new_variable,new_elom,relevant_category_change,variable
ID_YZ76CVRW3,8.0,46.00735809242647,29.0,47.29868708173824,Yellow to Green,count_children_present
ID_1U7GDTLRI,16.0,45.44118554105833,29.0,46.70283120431633,Yellow to Green,count_children_present
ID_W1TNT3GRG,32.0,35.7388754667494,29.0,37.16958062151511,Red to Yellow,count_children_present
ID_HLBUOAQYR,30.0,36.261212621832655,29.0,35.527925427611926,Yellow to Red,count_children_present
ID_X97ZIQ7EP,51.0,46.90639602471936,29.0,45.65978555501847,Green to Yellow,count_children_present
ID_HSPOEP3KD,80.0,45.52939913386689,29.0,46.880137118879375,Yellow to Green,count_children_present
ID_SS78PTNRJ,107.0,45.31275951169285,29.0,46.73780267321805,Yellow to Green,count_children_present
ID_911PIXSUB,,42.03095810677131,40.0,44.319185121818506,Red to Yellow,count_children_present
ID_XT8I6HEVP,,54.29999047461205,40.0,54.53128193625262,Yellow to Green,count_children_present
ID_T3KMB51H5,30.0,46.64531171542905,29.0,46.11966841940117,Green to Yellow,count_children_present
ID_PDCOBP37G,53.0,54.346412454115296,40.0,54.37033284740832,Yellow to Green,count_children_present
ID_IL5M8MQX0,,42.74466505284081,40.0,43.30969842284847,Red to Yellow,count_children_present
ID_A7UJ7XW7W,10.0,38.03159553151217,29.0,35.17925078627315,Yellow to Red,count_children_present
ID_JCP3JRWBL,53.0,46.68180626883692,29.0,45.48206758958846,Green to Yellow,count_children_present
ID_MORZ2BCBD,,33.921013447336705,29.0,36.32549777893887,Red to Yellow,count_children_present
ID_TH1HZEQ1L,,46.167173934460976,29.0,46.58015480519165,Yellow to Green,count_children_present
ID_MPIVP43SE,72.0,45.88019595562376,29.0,46.34185292182104,Yellow to Green,count_children_present
ID_WRTKHKODC,15.0,47.86153989884853,29.0,45.825012705861226,Green to Yellow,count_children_present
ID_7USJ9IHUD,38.0,46.55867388782498,29.0,45.40788288056972,Green to Yellow,count_children_present
ID_AA7UQY6OG,6.0,35.71637042176712,29.0,36.04422692618466,Red to Yellow,count_children_present
ID_QOL6BJ7RC,45.0,35.46472364037262,29.0,36.29501062499138,Red to Yellow,count_children_present
ID_8ZX1N6CG4,,53.577966546139,40.0,54.70516635689881,Yellow to Green,count_children_present
ID_RFPRWLX2L,,41.7634741570581,40.0,43.66242578090733,Red to Yellow,count_children_present
ID_SIP0PS2WS,77.0,47.67013462928004,29.0,46.16467519414183,Green to Yellow,count_children_present
ID_FIV1ORC7S,18.0,36.26050331450961,29.0,34.52714360467185,Yellow to Red,count_children_present
ID_A1HJW9DQN,,43.02253840430345,40.0,43.98925090942426,Red to Yellow,count_children_present
ID_ZG8KT7QG9,43.0,36.86884024263766,29.0,35.31818247969629,Yellow to Red,count_children_present
ID_D0DLKY5QK,,34.61514139045327,29.0,40.65305030450872,Red to Yellow,count_children_present
ID_TRGUALWBC,22.0,46.83153638468376,29.0,45.071055996351085,Green to Yellow,count_children_present
ID_XJNLLONEH,,46.02336529310647,29.0,46.33615597990213,Yellow to Green,count_children_present
ID_TJ2X20XOJ,41.0,45.00556942567682,29.0,47.234619600879874,Yellow to Green,count_children_present
ID_PPARE41JK,32.0,44.85896769205793,29.0,46.79668304241598,Yellow to Green,count_children_present
ID_W8WZR0OGB,19.0,44.4395700057398,29.0,47.65192485427662,Yellow to Green,count_children_present
ID_IR9IW9561,,54.08774498686901,40.0,55.07145557767693,Yellow to Green,count_children_present
ID_NZU52SWUG,12.0,36.15502749237657,29.0,35.43349711264084,Yellow to Red,count_children_present
ID_33BCSMU8B,88.0,45.724311433084296,29.0,47.04824253801485,Yellow to Green,count_children_present
ID_TBID6SLEK,16.0,46.00681614338599,29.0,48.66790194680786,Yellow to Green,count_children_present
ID_SOJB9XLOA,26.0,55.11841834479012,40.0,52.85472045111859,Green to Yellow,count_children_present
ID_2L4P6KZ4S,24.0,37.17294365183031,29.0,35.63156095182249,Yellow to Red,count_children_present
ID_KOKBFIN07,50.0,42.90681251390888,40.0,43.47544459077809,Red to Yellow,count_children_present
ID_X0V5RYDU2,,52.99848125069859,40.0,54.65620072297834,Yellow to Green,count_children_present
ID_ODU5PVFTT,,45.16622394633746,29.0,46.64914793637034,Yellow to Green,count_children_present
ID_ZQBRBUYGT,35.0,34.52684825970583,29.0,36.43310041278369,Red to Yellow,count_children_present
ID_X0LCLSCC1,34.0,55.86576942827963,40.0,54.161182461648,Green to Yellow,count_children_present
ID_QFEOVMPYM,26.0,33.47539451876271,29.0,37.25366187826158,Red to Yellow,count_children_present
ID_C03R1S4PW,,35.71723217722911,29.0,36.35828779349368,Red to Yellow,count_children_present
ID_I03ZBTSM3,59.0,36.79265328223205,29.0,35.9515517942491,Yellow to Red,count_children_present
ID_EI3JGD9IC,,55.37652258735064,40.0,53.28666988583225,Green to Yellow,count_children_present
ID_MR8STQ2HU,35.0,35.06343187253339,29.0,36.23232670777737,Red to Yellow,count_children_present
ID_03TK2WR12,31.0,46.46299594261345,29.0,46.03111724859421,Green to Yellow,count_children_present
ID_5OAW5SGTV,95.0,44.39724834033663,29.0,46.91654065071675,Yellow to Green,count_children_present
ID_NFR9ME4WD,62.0,54.66913302777575,40.0,53.32075279190064,Green to Yellow,count_children_present
ID_4QVXTCTNA,26.0,45.783207906112736,29.0,46.69012505482054,Yellow to Green,count_children_present
ID_QKLT1PVDP,19.0,54.938413039056925,40.0,52.854459433173496,Green to Yellow,count_children_present
ID_0WQKDH2C4,9.0,46.17929639338907,29.0,46.79210801657438,Yellow to Green,count_children_present
ID_QACAZVMRI,13.0,44.23683369325069,29.0,47.026556636859056,Yellow to Green,count_children_present
ID_P8S45X49S,,44.41956605952035,40.0,42.83929995602419,Yellow to Red,count_children_present
ID_1IDKCZQXP,,35.64042422710842,29.0,36.28389632988869,Red to Yellow,count_children_present
ID_HFDD6CVHG,17.0,34.77087861187511,29.0,37.36121551144053,Red to Yellow,count_children_present
ID_9VOR9XO6O,,43.38937677767584,40.0,43.207595637734784,Yellow to Red,count_children_present
ID_7OPA0UNZX,21.0,35.67336969007002,29.0,36.55939216279016,Red to Yellow,count_children_present
ID_UMH0TH7VZ,,45.10956767097996,29.0,46.7630707610814,Yellow to Green,count_children_present
ID_AK8ALXNKQ,59.0,36.54322943326133,29.0,35.03610580464105,Yellow to Red,count_children_present
ID_DTBWQB2G9,,46.26273476939592,29.0,47.44032922751712,Yellow to Green,count_children_present
ID_HRH2M6VTV,82.0,35.58022335016149,29.0,37.26044253439259,Red to Yellow,count_children_present
ID_08VBLZVKH,51.0,46.05507755605189,29.0,47.60839705613823,Yellow to Green,count_children_present
ID_P88U5ZXGQ,,54.123068508663806,40.0,54.64029305539637,Yellow to Green,count_children_present
ID_ONNN0S4JT,,53.51587879990677,40.0,56.18150191899961,Yellow to Green,count_children_present
ID_QFNABNPE2,0.0,35.11843182482539,29.0,36.35983110807232,Red to Yellow,count_children_present
ID_WG3XQCN24,54.0,37.177030937204265,29.0,35.59575021474055,Yellow to Red,count_children_present
ID_13KXVN6I2,5.0,46.88210130820653,29.0,45.63862808057388,Green to Yellow,count_children_present
ID_UUUY386BR,45.0,47.52301499300947,29.0,46.17965884215142,Green to Yellow,count_children_present
ID_CQ0S20GVV,39.0,46.45167099529867,29.0,44.72507865435438,Green to Yellow,count_children_present
ID_V319BNHQY,30.0,46.70106762722265,29.0,45.856835904974304,Green to Yellow,count_children_present
ID_XTMB42WOW,32.0,35.4787100117648,29.0,36.543364860438494,Red to Yellow,count_children_present
ID_HUFP7B7OJ,89.0,55.18005611210656,40.0,53.75990642998004,Green to Yellow,count_children_present
ID_HZYRO1Q10,,53.38103417749829,40.0,54.76557194134873,Yellow to Green,count_children_present
ID_6DAYRRIVQ,57.0,35.46222816778976,29.0,36.63428853140182,Red to Yellow,count_children_present
ID_ALQFKVY1U,,54.023639220124615,40.0,54.94524811278721,Yellow to Green,count_children_present
ID_ZIRW76KWX,9.0,45.313887726961866,29.0,46.719963730488,Yellow to Green,count_children_present
ID_BUTCK08V6,69.0,45.691202558057945,29.0,47.06086418788113,Yellow to Green,count_children_present
ID_FBYNJ3R03,,54.28534758478935,40.0,54.498839870549695,Yellow to Green,count_children_present
ID_3ZOQOUGKH,,54.03054095031687,40.0,54.573687771669455,Yellow to Green,count_children_present
ID_XC6342MGF,26.0,46.06041589461851,29.0,46.46796812176763,Yellow to Green,count_children_present
ID_E4X42GKAZ,30.0,44.967877460727074,29.0,46.51248256920315,Yellow to Green,count_children_present
ID_828B3A0L6,48.0,36.69093858355714,29.0,34.02378790792368,Yellow to Red,count_children_present
ID_OZHB9ENP9,,41.78116596361792,40.0,44.43713271003818,Red to Yellow,count_children_present
ID_912IRXAFP,10.0,45.92093166565439,29.0,46.34143506460806,Yellow to Green,count_children_present
ID_Y54TYY781,15.0,36.93362981773748,29.0,35.1927230671336,Yellow to Red,count_children_present
ID_4BOB6WG10,45.0,46.74478300788611,29.0,46.07538293321862,Green to Yellow,count_children_present
ID_8UH9OOISO,33.0,46.24027989417263,29.0,48.24991186410582,Yellow to Green,count_children_present
ID_8XF2VBGFS,,46.56443432546647,29.0,46.200159245220256,Green to Yellow,count_children_present
ID_K1HXZT09J,27.0,38.23898421717149,29.0,35.14423122067488,Yellow to Red,count_children_present
ID_78VNP3UD6,45.0,44.58480029163334,29.0,46.52236783629021,Yellow to Green,count_children_present
ID_TBXK9B9L6,39.0,47.00427771671468,29.0,45.71746852182065,Green to Yellow,count_children_present
ID_0WMJX17MM,21.0,47.06171263822138,29.0,45.14444923562526,Green to Yellow,count_children_present
ID_VU5204Q7J,20.0,36.8004635071475,29.0,35.21732942815848,Yellow to Red,count_children_present
ID_P4F8PR4BO,11.0,44.86323388090988,29.0,46.53240697634399,Yellow to Green,count_children_present
ID_UMAYYR8KK,,52.7162972875213,40.0,54.93405873511094,Yellow to Green,count_children_present
ID_RSGWX3597,,46.16577672931055,29.0,48.01589000214818,Yellow to Green,count_children_present
ID_FX5WB32DV,,35.102778577690785,29.0,36.58508831169682,Red to Yellow,count_children_present
ID_VX5XN7OIB,28.0,35.087353397318296,29.0,36.33803057120896,Red to Yellow,count_children_present
ID_4R29ZH0P8,95.0,45.95232450211543,29.0,47.07497612467822,Yellow to Green,count_children_present
ID_IU6I0NXW2,47.0,37.24674658551579,29.0,35.487025545073905,Yellow to Red,count_children_present
ID_F5X8FQETM,,55.2563725302402,40.0,52.96283892373892,Green to Yellow,count_children_present
ID_TMVE0RDCA,,42.16357362420439,40.0,43.32550712369349,Red to Yellow,count_children_present
ID_TE9JBRMGH,48.0,46.71000221491179,29.0,46.05747107004677,Green to Yellow,count_children_present
ID_V7DAVUGFJ,,43.18444463104118,40.0,43.40442819565119,Red to Yellow,count_children_present
ID_556OZPMV4,11.0,45.96877499877874,29.0,46.57785679981265,Yellow to Green,count_children_present
ID_KGIK41C33,49.0,46.81625619869847,29.0,46.29902711409935,Green to Yellow,count_children_present
ID_ADXK02LTR,20.0,45.54039456562347,29.0,46.458045681564776,Yellow to Green,count_children_present
ID_FM63X0PPC,17.0,36.67822228710867,29.0,35.22779824375904,Yellow to Red,count_children_present
ID_EQD5DYTE1,,55.666861892431655,40.0,54.01554948082807,Green to Yellow,count_children_present
ID_43TXZJR7C,,55.44989269004664,40.0,54.19152382376337,Green to Yellow,count_children_present
ID_KSXIKWTC0,18.0,44.943632866588864,29.0,46.64954407545869,Yellow to Green,count_children_present
ID_EQJRUPX5J,45.0,35.911717190872594,29.0,37.06125680165527,Red to Yellow,count_children_present
ID_NCB54UXDI,18.0,46.162199530878354,29.0,46.43435774243835,Yellow to Green,count_children_present
ID_TLDXNBVC3,71.0,33.816059573187374,29.0,36.26122188384036,Red to Yellow,count_children_present
ID_2EMGD9TNQ,,44.02194385751437,29.0,46.39917512678704,Yellow to Green,count_children_present
ID_V5DGZS9HC,19.0,44.15917107059538,29.0,46.75629725167588,Yellow to Green,count_children_present
ID_U1N0GCW4T,15.0,35.545678644293005,29.0,36.08418419326582,Red to Yellow,count_children_present
ID_AKZILA2W2,14.0,45.8871131828849,29.0,47.30061416185464,Yellow to Green,count_children_present
ID_H4FZD2UET,21.0,45.150058116425015,29.0,47.1013586768473,Yellow to Green,count_children_present
ID_EZFFQ3FHM,,54.68390640475259,40.0,54.09276888666765,Green to Yellow,count_children_present
ID_BA3X6VEXO,25.0,37.14269635405464,29.0,35.75476330584402,Yellow to Red,count_children_present
