child_id,target,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15
ID_0I0999N6S,57.53906472764855,child_observe_total,teacher_emotional_total,child_observe_diligent,teacher_emotional_total_pri_fees_amount_multiply,child_observe_attentive,teacher_emotional_total_pri_fees_amount_pv_multiply,child_gender,child_age,child_observe_interested,teacher_social_total,teacher_emotional_understand,teacher_emotional_met,count_toilets_children,pri_fees_amount_std_enum,count_staff_time_full_std_enum
ID_GQ6ONJ4FP,46.46138901559144,child_observe_total,teacher_emotional_total,child_observe_concentrated,child_observe_diligent,teacher_emotional_total_pri_fees_amount_multiply,child_observe_attentive,child_gender,id_facility,teacher_emotional_understand,child_observe_interested,teacher_emotional_met,child_zha_mean_enum,child_enrollment_age,count_register_year_2020,child_dob_day_mean_enum
ID_YZ76CVRW3,47.40302503757922,child_observe_diligent,child_observe_attentive,child_age_std_enum,child_observe_total,data_year_std_enum,child_age_mean,count_toilets_children_std_prov,child_observe_concentrated,child_observe_total_mean,teacher_social_total_mean_enum,count_register_year_2017_mean,child_observe_total_mean_enum,count_register_year_2020,quintile_std_enum,teacher_emotional_understand
ID_BNINCRXH8,71.21221327902971,child_observe_total,child_observe_concentrated,child_age,child_observe_diligent,child_observe_attentive,pri_capacity,teacher_emotional_total,child_gender,child_age_child_height_divide,pri_funding_subsidy_mean_enum,count_register_race_std_enum,child_age_mean,ses_proxy_mean,count_staff_time_mean_prov,teacher_emotional_selfstarter
ID_1U7GDTLRI,46.35717220391317,child_observe_total,child_observe_diligent,child_observe_attentive,count_register_race_std_enum,pri_funding_subsidy_mean_enum,count_toilets_children_mean_prov,child_observe_interested,child_enrollment_age,teacher_emotional_understand,pri_fees_amount_std_enum,obs_classrooms_std_enum,longitude_mean,obs_materials,child_zha_mean_enum,pri_fees_amount_pv_std
ID_HUPM6GALH,67.23086969041653,child_age,child_age_group,id_facility,ward_best,child_observe_diligent,child_age_std_enum,ses_proxy,child_observe_total,child_observe_attentive,child_age_mean,child_observe_total_mean,child_age_child_height_divide,child_date_month_std,child_gender,id_facility_mean
ID_RLC7D66D6,41.532849453632636,child_observe_total,child_observe_concentrated,child_height,child_observe_diligent,child_observe_attentive,child_enrollment_age,child_zha,teacher_emotional_total,pri_separate,child_years_in_programme,child_observe_interested,teacher_emotional_met,child_observe_general,count_register_year_2020,pra_agency_choice
ID_3IDOXBRX5,44.863874704698475,child_observe_total,teacher_emotional_total,child_observe_diligent,child_zha,child_observe_attentive,child_date_month,child_gender,child_observe_interested,child_age_child_height_divide,teacher_social_total,child_enrollment_age,child_years_in_programme,teacher_emotional_met,teacher_emotional_understand,count_register_year_grader_std_enum
ID_5HF27TNFX,51.50295880870736,child_observe_total,child_observe_concentrated,child_observe_diligent,child_observe_attentive,child_zha,child_age_std_enum,data_year_std_enum,child_observe_general,child_observe_total_mean,child_zha_std,teacher_social_total_mean_enum,child_age_mean,count_register_year_2020,teacher_emotional_understand,child_observe_total_mean_enum
ID_C9RZNXMYF,49.97579966702616,teacher_emotional_total,child_observe_diligent,child_age,child_observe_total,child_observe_attentive,obs_materials,child_enrollment_age,teacher_emotional_met,teacher_emotional_understand,count_register_year_2019_std_enum,teacher_emotional_total_std,teacher_emotional_total_pri_fees_amount_multiply,teacher_social_total,teacher_social_nonaggressive,count_register_year_2020
ID_63GVO6496,57.270936186671,child_observe_total,child_dob_year_mean,child_observe_diligent,child_date_month,child_observe_total_mean,child_observe_attentive,pri_funding_subsidy_mean_enum,latitude_std_enum,child_gender,id_facility,teacher_selfcare_total_std,child_observe_interested,child_years_in_programme,id_facility_n,child_date_month_std
ID_MQDKXQO9R,33.71909969852189,child_months_enrolment,count_register_all_std_enum,pri_funding_subsidy_mean_enum,count_staff_salary_paid_std_enum,child_observe_total_mean,count_register_race_std_enum,child_years_in_programme,count_register_year_2020,enrollment_duration,count_staff_time_full_std_enum,count_staff_salary_std_enum,child_zha_mean_enum,obs_classrooms_std_enum,obs_materials,id_facility_mean
ID_8NHEV4JYV,21.82915671949108,obs_materials,child_observe_total_mean,latitude_longitude_divide,child_dob_day,pri_separate,child_years_in_programme,id_facility_mean,count_register_all_std,certificate_registration_program,count_register_year_2020,child_dob_day_mean_enum,teacher_emotional_total_std_enum,quintile_std_enum,teacher_emotional_total_pri_fees_amount_pv_subtract,quintile_std
