child_id,current_variable,current_elom,new_variable,new_elom,relevant_category_change,variable
ID_YZ76CVRW3,5.0,46.00735809242647,23.0,46.76736874558057,Yellow to Green,count_register_gender_male
ID_WYP2V4JWK,78.0,36.1252272353482,23.0,35.80536382847871,Yellow to Red,count_register_gender_male
ID_W1TNT3GRG,22.0,35.7388754667494,23.0,37.48407718388943,Red to Yellow,count_register_gender_male
ID_GH4W2DKQS,24.0,46.69613185040053,23.0,45.41819807438651,Green to Yellow,count_register_gender_male
ID_XT8I6HEVP,,54.29999047461205,32.0,55.952358421564256,Yellow to Green,count_register_gender_male
ID_XFEWCGGYJ,36.0,46.58712206880431,23.0,45.91476530206547,Green to Yellow,count_register_gender_male
ID_T3KMB51H5,30.0,46.64531171542905,23.0,45.90703366894527,Green to Yellow,count_register_gender_male
ID_PDCOBP37G,36.0,54.346412454115296,32.0,54.81089976080383,Yellow to Green,count_register_gender_male
ID_A7UJ7XW7W,14.0,38.03159553151217,23.0,35.27297378384462,Yellow to Red,count_register_gender_male
ID_JCP3JRWBL,35.0,46.68180626883692,23.0,45.52711258557896,Green to Yellow,count_register_gender_male
ID_AIWDXP6V0,14.0,52.06850309764462,32.0,55.30151145231712,Yellow to Green,count_register_gender_male
ID_S20TKH1D5,,46.205342746043,23.0,46.862111472079576,Yellow to Green,count_register_gender_male
ID_QF1R03ZRV,8.0,46.73015903172436,23.0,45.75286022347458,Green to Yellow,count_register_gender_male
ID_TH1HZEQ1L,,46.167173934460976,23.0,47.04986552079808,Yellow to Green,count_register_gender_male
ID_WRTKHKODC,16.0,47.86153989884853,23.0,46.27530169232574,Green to Yellow,count_register_gender_male
ID_7USJ9IHUD,24.0,46.55867388782498,23.0,44.15520156021498,Green to Yellow,count_register_gender_male
ID_GXJJJXTKM,36.0,42.119323925360135,32.0,43.49368344255019,Red to Yellow,count_register_gender_male
ID_4SCRLE2J2,,47.60475792965437,23.0,46.24346571600996,Green to Yellow,count_register_gender_male
ID_SIP0PS2WS,58.0,47.67013462928004,23.0,45.37532108254007,Green to Yellow,count_register_gender_male
ID_T4K3COLKL,29.0,45.37816032046514,23.0,46.60899268987311,Yellow to Green,count_register_gender_male
ID_FIV1ORC7S,31.0,36.26050331450961,23.0,35.41704398583072,Yellow to Red,count_register_gender_male
ID_A1HJW9DQN,,43.02253840430345,32.0,44.12181907022164,Red to Yellow,count_register_gender_male
ID_21GYRT63Y,,42.900709608679314,32.0,43.75643345192125,Red to Yellow,count_register_gender_male
ID_ZG8KT7QG9,35.0,36.86884024263766,23.0,35.27099919242858,Yellow to Red,count_register_gender_male
ID_F9OD1PFFP,14.0,47.28261735409748,23.0,45.45496812193567,Green to Yellow,count_register_gender_male
ID_D0DLKY5QK,,34.61514139045327,23.0,36.879209634744285,Red to Yellow,count_register_gender_male
ID_TJ2X20XOJ,29.0,45.00556942567682,23.0,47.23575558173141,Yellow to Green,count_register_gender_male
ID_IR9IW9561,,54.08774498686901,32.0,54.66845040602812,Yellow to Green,count_register_gender_male
ID_NZU52SWUG,11.0,36.15502749237657,23.0,35.24339668044807,Yellow to Red,count_register_gender_male
ID_ADEG2X54U,64.0,35.364258655292595,23.0,36.44407624305572,Red to Yellow,count_register_gender_male
ID_01RAL2DTR,,44.98308956794307,23.0,46.38548994927137,Yellow to Green,count_register_gender_male
ID_SOJB9XLOA,25.0,55.11841834479012,32.0,54.309850326764185,Green to Yellow,count_register_gender_male
ID_N8D70IHCQ,,33.74290481985116,23.0,36.65731949733594,Red to Yellow,count_register_gender_male
ID_2L4P6KZ4S,15.0,37.17294365183031,23.0,35.77506427227786,Yellow to Red,count_register_gender_male
ID_JXOFMQBH0,,48.134236888013646,23.0,46.0928066207428,Green to Yellow,count_register_gender_male
ID_ODU5PVFTT,,45.16622394633746,23.0,46.40745723015668,Yellow to Green,count_register_gender_male
ID_LRLNZO2RA,16.0,37.923670402067735,23.0,35.91148760098591,Yellow to Red,count_register_gender_male
ID_ZQBRBUYGT,25.0,34.52684825970583,23.0,36.8002842726385,Red to Yellow,count_register_gender_male
ID_X639IDIKQ,,55.1180868810724,32.0,54.15567469051788,Green to Yellow,count_register_gender_male
ID_X0LCLSCC1,21.0,55.86576942827963,32.0,53.54710534935175,Green to Yellow,count_register_gender_male
ID_618DA3XIF,18.0,37.10826069263397,23.0,35.55582935696013,Yellow to Red,count_register_gender_male
ID_C03R1S4PW,,35.71723217722911,23.0,37.01605028492673,Red to Yellow,count_register_gender_male
ID_3Y2T4EL1V,54.0,45.99344445161525,23.0,46.50642423503852,Yellow to Green,count_register_gender_male
ID_X7U095YYX,,44.91912464912438,32.0,43.14141234090285,Yellow to Red,count_register_gender_male
