child_id,target,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15
ID_0I0999N6S,58.447877754474064,child_observe_total,teacher_emotional_total,child_observe_diligent,teacher_emotional_total_pri_fees_amount_multiply,child_observe_attentive,teacher_emotional_total_pri_fees_amount_pv_multiply,child_observe_interested,child_gender,teacher_social_total,child_age,teacher_emotional_met,teacher_emotional_selfstarter,count_children_present,teacher_emotional_understand,child_zha_std
ID_GQ6ONJ4FP,47.40015915579192,child_observe_total,teacher_emotional_total,child_observe_concentrated,child_observe_diligent,child_observe_attentive,teacher_emotional_total_pri_fees_amount_multiply,child_gender,child_observe_interested,teacher_emotional_met,teacher_emotional_understand,pra_agency_understand,child_enrollment_age,teacher_emotional_selfstarter,count_register_year_2020,id_ward_std_enum
ID_YZ76CVRW3,46.94582140444792,child_observe_diligent,child_observe_attentive,data_year_std_enum,child_observe_total,child_observe_total_mean,child_age_std_enum,count_toilets_children_std_prov,count_register_race_coloured_mean_enum,child_observe_concentrated,pri_year_mean,child_age_mean,teacher_social_total_mean_enum,teacher_emotional_understand,child_dob_day_std,count_toilets_children_mean_prov
ID_BNINCRXH8,69.50183654789402,child_observe_total,child_observe_concentrated,child_age,child_observe_diligent,child_observe_attentive,teacher_emotional_total,pri_capacity,child_age_std_enum,child_gender,child_years_in_programme,pri_funding_subsidy_mean_enum,child_age_mean,count_register_race_std_enum,count_register_gender_male_mean_enum,pri_fees_amount_pv_count
ID_1U7GDTLRI,47.25086262923734,child_observe_total,child_observe_diligent,child_observe_attentive,pri_funding_subsidy_mean_enum,count_register_race_std_enum,pri_fees_amount_pv_std,obs_materials,pri_fees_amount_std_enum,count_toilets_children_mean_prov,longitude_mean,child_observe_interested,count_register_year_2020,child_enrollment_age,id_ward_mean,id_facility
ID_HUPM6GALH,65.97607476258842,child_age,child_age_group,ses_proxy,child_observe_diligent,child_age_std_enum,id_facility,child_observe_total,ward_best,child_observe_attentive,child_observe_total_mean,child_date_month_std,child_gender,count_register_race_coloured_mean_enum,child_age_mean,child_age_child_height_divide
ID_RLC7D66D6,42.61698838316052,child_observe_total,child_height,child_observe_concentrated,child_observe_diligent,child_observe_attentive,pri_separate,child_observe_interested,child_years_in_programme,teacher_emotional_total,child_observe_general,child_zha,child_enrollment_age,teacher_emotional_met,teacher_social_assistance,pra_agency_choice
ID_3IDOXBRX5,46.297133183594205,child_observe_total,teacher_emotional_total,child_zha,child_observe_diligent,child_observe_attentive,child_gender,child_observe_interested,child_date_month,teacher_social_total,child_age_child_height_divide,child_years_in_programme,obs_materials_12,teacher_emotional_selfstarter,teacher_emotional_met,child_observe_concentrated
ID_5HF27TNFX,50.532680991022765,child_observe_total,child_observe_concentrated,child_observe_diligent,child_observe_total_mean,child_observe_attentive,child_age_std_enum,child_zha,obs_materials_12,data_year_std_enum,count_register_year_2020,teacher_social_total_mean_enum,count_register_race_coloured_mean_enum,teacher_emotional_understand,teacher_emotional_selfstarter,child_age_mean
ID_C9RZNXMYF,47.57851231321376,teacher_emotional_total,child_age,child_observe_diligent,child_observe_total,child_observe_attentive,obs_materials,child_enrollment_age,teacher_emotional_met,teacher_emotional_understand,teacher_social_nonaggressive,child_observe_concentrated,teacher_emotional_total_mean_enum,teacher_emotional_total_pri_fees_amount_multiply,count_staff_time_full_std_enum,teacher_social_peers
ID_63GVO6496,58.21821867856916,child_observe_total,child_dob_year_mean,id_facility,child_observe_diligent,child_date_month,child_observe_attentive,child_observe_total_mean,pri_funding_subsidy_mean_enum,latitude_std_enum,child_gender,child_observe_interested,child_years_in_programme,pri_time_close_minutes_mean,child_dob_day,id_facility_n
ID_MQDKXQO9R,33.89109096313483,pri_funding_subsidy_mean_enum,child_observe_total_mean,child_months_enrolment,count_register_race_std_enum,child_years_in_programme,count_register_race_african_std_enum,count_staff_salary_paid_std_enum,count_register_year_2020,count_staff_salary_std_enum,count_register_all_std_enum,count_staff_time_full_std_enum,teacher_emotional_total_mean_enum,count_staff_qual_skills_std_enum,obs_handwashing_1,obs_classrooms_std_enum
ID_8NHEV4JYV,22.958782050544386,child_dob_day,obs_materials,child_observe_total_mean,pri_separate,child_years_in_programme,child_months_enrolment,pri_calc_time_open,id_facility_mean,pri_meal_1,child_age_child_height_divide,count_register_all_std,prov_best,count_register_year_2020,pri_year_std,child_date_day_std_enum
ID_49Q0B09ZE,45.03514736189747,child_observe_total,child_age,child_age_group,child_height,child_observe_concentrated,child_observe_diligent,child_observe_general,latitude_longitude_divide,child_dob_month,id_facility,child_observe_attentive,child_observe_interested,count_toilets_children_mean_enum,id_ward_mean,count_toilets_children
ID_OFDARJRN8,27.49560335186679,child_age_child_height_multiply,child_height,child_gender,child_observe_interested,latitude_longitude_divide,child_observe_concentrated,count_register_year_2020,obs_materials_12,latitude_mean,teacher_emotional_understand,child_age_child_height_divide,pra_agency_choice,teacher_social_assistance,teacher_emotional_total_mean_enum,pra_agency_order
ID_SUUJWQCUK,60.13266321424719,child_observe_total,child_age,ses_proxy,child_observe_concentrated,child_observe_diligent,child_age_group,child_date_month,child_observe_attentive,pri_fees_amount,child_zha,child_gender,ward_best,count_register_race_std_enum,child_age_mean,child_date_day
ID_LSRZPR784,52.13705054851043,teacher_emotional_total,child_observe_total,child_observe_diligent,child_dob_day,child_observe_total_mean_enum,child_observe_total_mean,child_date_month,teacher_emotional_total_pri_fees_amount_multiply,child_observe_attentive,child_dob_day_mean,id_facility,child_observe_concentrated,child_date_month_std,teacher_social_total,child_enrollment_age
ID_W0L3EEXNX,38.56200353618311,child_observe_total,teacher_emotional_total,child_observe_concentrated,child_observe_diligent,child_observe_attentive,child_gender,teacher_social_total,teacher_emotional_understand,pri_fees_amount_count,teacher_emotional_selfstarter,obs_materials_12,teacher_emotional_met,id_facility,teacher_social_nonaggressive,child_age_child_height_divide
ID_O5WURWYLF,40.06309759002064,child_height,child_observe_total_mean_enum,child_observe_total_mean,count_register_race_other_std_enum,pri_funding_subsidy_mean_enum,child_zha,child_gender,child_zha_std,count_register_year_2020,pri_year_std,id_facility,pri_fees_amount_count,count_staff_salary_std_enum,child_observe_concentrated,count_staff_time_full_std_enum
ID_EQAZQ4SZ7,65.77465443775054,child_observe_total,child_observe_concentrated,child_age_group,child_age,child_observe_diligent,child_height,child_observe_attentive,child_observe_interested,child_observe_general,latitude_longitude_divide,child_gender,child_date_month,child_zha,count_register_race_coloured_mean_enum,id_facility_n
ID_UXL36DZL7,58.12453484350803,child_height,teacher_emotional_total,child_age,teacher_emotional_total_pri_fees_amount_pv_multiply,child_observe_diligent,child_date_month,child_dob_month,child_observe_total,pri_funding_subsidy_mean_enum,teacher_emotional_total_pri_fees_amount_multiply,child_zha,count_register_year_2014_mean,child_observe_attentive,child_gender,teacher_emotional_met
ID_WCDXTO0HT,31.87179822110923,child_height,count_register_race_std_enum,obs_materials,pri_funding_subsidy_mean_enum,child_zha,child_observe_total_mean,pri_fees_amount_pv_pri_fees_amount_multiply,count_staff_gender_std_enum,count_register_year_2020,count_register_gender_male_std_enum,count_register_race_coloured_mean_enum,teacher_emotional_total_mean_enum,count_staff_salary_std_enum,quintile_std,count_staff_time_full_std_enum
ID_B6TIIEIQJ,46.92833269471786,child_observe_total,child_observe_concentrated,child_age,child_observe_diligent,child_observe_attentive,child_observe_general,teacher_emotional_total,child_months_enrolment,child_observe_interested,teacher_emotional_met,count_register_race_std_enum,child_years_in_programme,count_staff_salary_paid_std_enum,count_register_race_coloured_mean_enum,teacher_emotional_understand
ID_7UZ66G4L8,55.36828871888012,teacher_emotional_total,child_observe_diligent,child_observe_total,child_observe_total_mean_enum,child_observe_attentive,child_observe_total_mean,latitude_longitude_divide,child_age,child_gender,id_ward_mean,pri_funding_subsidy_mean_enum,teacher_emotional_met,pra_agency_understand,teacher_emotional_understand,child_date_month_std
