child_id,current_variable,current_elom,new_variable,new_elom,relevant_category_change,variable
ID_1U7GDTLRI,37.0,45.44118554105833,0.0,47.25086262923734,Yellow to Green,count_register_race_coloured
ID_2TZCX6Z9V,,36.295194017554806,0.0,35.95465587586658,Yellow to Red,count_register_race_coloured
ID_SS78PTNRJ,293.0,45.31275951169285,0.0,47.19544707717412,Yellow to Green,count_register_race_coloured
ID_XT8I6HEVP,,54.29999047461205,12.0,54.40349493798851,Yellow to Green,count_register_race_coloured
ID_PDCOBP37G,17.0,54.346412454115296,12.0,54.84575561091835,Yellow to Green,count_register_race_coloured
ID_67RL7W13Z,,54.49952185521868,12.0,54.26186320276863,Green to Yellow,count_register_race_coloured
ID_S20TKH1D5,,46.205342746043,0.0,47.435598227674944,Yellow to Green,count_register_race_coloured
ID_TH1HZEQ1L,,46.167173934460976,0.0,48.28848828592012,Yellow to Green,count_register_race_coloured
ID_AA7UQY6OG,4.0,35.71637042176712,0.0,36.55076341110618,Red to Yellow,count_register_race_coloured
ID_0DTROXFNI,34.0,53.33006803907292,12.0,54.3791222224826,Yellow to Green,count_register_race_coloured
ID_8ZX1N6CG4,,53.577966546139,12.0,55.85946714361237,Yellow to Green,count_register_race_coloured
ID_YEGLWG5NE,,54.41635446000228,12.0,53.43179795857464,Green to Yellow,count_register_race_coloured
ID_A1HJW9DQN,,43.02253840430345,12.0,43.91872556776292,Red to Yellow,count_register_race_coloured
ID_Y5BAAYH2U,,54.82359711380167,12.0,54.32390108053583,Green to Yellow,count_register_race_coloured
ID_ZG8KT7QG9,51.0,36.86884024263766,0.0,34.898851970730774,Yellow to Red,count_register_race_coloured
ID_L3UNNF5AK,,42.95458175193352,12.0,45.68573378308312,Red to Yellow,count_register_race_coloured
ID_0L77QQ1WY,63.0,35.09612677406327,0.0,36.91221175784898,Red to Yellow,count_register_race_coloured
ID_D0DLKY5QK,,34.61514139045327,0.0,36.90628612367952,Red to Yellow,count_register_race_coloured
ID_IR9IW9561,,54.08774498686901,12.0,56.06488860936097,Yellow to Green,count_register_race_coloured
ID_ADEG2X54U,116.0,35.364258655292595,0.0,36.850925429022105,Red to Yellow,count_register_race_coloured
ID_SOJB9XLOA,0.0,55.11841834479012,12.0,53.86922305520345,Green to Yellow,count_register_race_coloured
ID_N8D70IHCQ,,33.74290481985116,0.0,36.29214644201265,Red to Yellow,count_register_race_coloured
ID_ERDTZ7TTK,,36.04806756285405,0.0,35.7323898224504,Yellow to Red,count_register_race_coloured
ID_BZZBILWNY,,36.16170713372027,0.0,35.48665942763987,Yellow to Red,count_register_race_coloured
ID_X0V5RYDU2,,52.99848125069859,12.0,55.199269415768406,Yellow to Green,count_register_race_coloured
ID_7KI85HYXG,,43.89713638121047,12.0,42.58283614287474,Yellow to Red,count_register_race_coloured
ID_ODU5PVFTT,,45.16622394633746,0.0,48.08778676432403,Yellow to Green,count_register_race_coloured
ID_JIE5VIW1N,12.0,38.10664882283085,0.0,35.90705107195855,Yellow to Red,count_register_race_coloured
ID_X0LCLSCC1,0.0,55.86576942827963,12.0,52.31931398447863,Green to Yellow,count_register_race_coloured
ID_CJULXDSOZ,,38.12852642497069,0.0,35.893312147136214,Yellow to Red,count_register_race_coloured
ID_5OAW5SGTV,74.0,44.39724834033663,0.0,46.96137010805537,Yellow to Green,count_register_race_coloured
ID_YDNKOPIG5,20.0,51.791678956871856,12.0,54.66727295499872,Yellow to Green,count_register_race_coloured
ID_ATU10I7UB,,54.43391536546185,12.0,53.89818196804506,Green to Yellow,count_register_race_coloured
ID_I0S593HFB,25.0,36.74680219534055,0.0,35.04879051964845,Yellow to Red,count_register_race_coloured
ID_VFBBZ0Q3N,54.0,42.241653265163976,12.0,45.082553661320446,Red to Yellow,count_register_race_coloured
ID_54TYS3ERK,,54.99019687092971,12.0,53.958175820851054,Green to Yellow,count_register_race_coloured
ID_DTBWQB2G9,,46.26273476939592,0.0,47.4365289898148,Yellow to Green,count_register_race_coloured
ID_P88U5ZXGQ,,54.123068508663806,12.0,54.64536926900654,Yellow to Green,count_register_race_coloured
ID_CQ0S20GVV,4.0,46.45167099529867,0.0,44.16275479751739,Green to Yellow,count_register_race_coloured
ID_V319BNHQY,1.0,46.70106762722265,0.0,45.04788297635894,Green to Yellow,count_register_race_coloured
ID_H9I3DMXQV,,33.45988198600829,0.0,36.05470427729438,Red to Yellow,count_register_race_coloured
ID_B2XYPJ4SX,,44.21882664459739,0.0,46.50271513469921,Yellow to Green,count_register_race_coloured
ID_PRFTU22ZE,7.0,43.53276935602308,12.0,43.00205846560008,Yellow to Red,count_register_race_coloured
ID_VIVXQPW8T,61.0,36.69793691650853,0.0,35.94430196604481,Yellow to Red,count_register_race_coloured
ID_FBYNJ3R03,,54.28534758478935,12.0,55.55817486188742,Yellow to Green,count_register_race_coloured
ID_XC6342MGF,57.0,46.06041589461851,0.0,46.94589984440293,Yellow to Green,count_register_race_coloured
ID_KUORZRA8O,,55.06896136234651,12.0,53.60142973503906,Green to Yellow,count_register_race_coloured
ID_T2AKGHFU8,,45.20132549781151,12.0,42.67244501746937,Yellow to Red,count_register_race_coloured
ID_QOGK7QE0V,,53.60603866607807,12.0,55.96795510003684,Yellow to Green,count_register_race_coloured
ID_4BOB6WG10,,46.74478300788611,0.0,45.59439088446917,Green to Yellow,count_register_race_coloured
ID_GOI6Q4MR6,,46.538070536334885,0.0,45.48695704486836,Green to Yellow,count_register_race_coloured
ID_AYG0L4VN6,,54.77428945219433,12.0,52.37259030588827,Green to Yellow,count_register_race_coloured
ID_8XF2VBGFS,,46.56443432546647,0.0,44.91085776242012,Green to Yellow,count_register_race_coloured
ID_0WMJX17MM,25.0,47.06171263822138,0.0,45.76621172536088,Green to Yellow,count_register_race_coloured
ID_NDNB12NK8,,55.05507220853069,12.0,53.47995011197651,Green to Yellow,count_register_race_coloured
ID_RSGWX3597,,46.16577672931055,0.0,48.39754125517506,Yellow to Green,count_register_race_coloured
ID_4R29ZH0P8,74.0,45.95232450211543,0.0,46.325827661893904,Yellow to Green,count_register_race_coloured
ID_F5X8FQETM,,55.2563725302402,12.0,52.24415519561194,Green to Yellow,count_register_race_coloured
ID_N04NB3RIA,,47.89016815194852,0.0,45.98367572332495,Green to Yellow,count_register_race_coloured
ID_TMVE0RDCA,,42.16357362420439,12.0,44.55562197171732,Red to Yellow,count_register_race_coloured
ID_9JQ2LR7Y0,,46.83562807389881,0.0,46.27651040169962,Green to Yellow,count_register_race_coloured
ID_YAA6RUWL1,,44.007736284830045,12.0,42.87406087781415,Yellow to Red,count_register_race_coloured
ID_ILON78OEQ,,47.31792977550572,0.0,45.86840978148693,Green to Yellow,count_register_race_coloured
ID_JV7H74LTR,3.0,46.90231421218847,0.0,45.79666512888085,Green to Yellow,count_register_race_coloured
ID_V7DAVUGFJ,,43.18444463104118,12.0,43.3860577947043,Red to Yellow,count_register_race_coloured
ID_KXC5BWR4G,,55.872834880364216,12.0,54.29798770975762,Green to Yellow,count_register_race_coloured
ID_3858VCCI5,,54.52313367197725,12.0,53.55390820197008,Green to Yellow,count_register_race_coloured
ID_M1JAZ13UH,,46.101728596153336,0.0,47.4328336088608,Yellow to Green,count_register_race_coloured
ID_L4GS7V32B,,55.66028078461703,12.0,54.26385956927991,Green to Yellow,count_register_race_coloured
ID_TLDXNBVC3,1.0,33.816059573187374,0.0,36.24453589937704,Red to Yellow,count_register_race_coloured
ID_U1N0GCW4T,79.0,35.545678644293005,0.0,36.933131568530456,Red to Yellow,count_register_race_coloured
ID_EZFFQ3FHM,,54.68390640475259,12.0,53.620730422864064,Green to Yellow,count_register_race_coloured
ID_11OBZ0RCY,0.0,44.254829801269786,12.0,43.22320939509324,Yellow to Red,count_register_race_coloured
