child_id,target,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15
ID_0I0999N6S,57.94183361056309,child_observe_total,teacher_emotional_total,child_observe_diligent,teacher_emotional_total_pri_fees_amount_multiply,child_observe_attentive,teacher_emotional_total_pri_fees_amount_pv_multiply,child_observe_interested,child_gender,child_age,teacher_emotional_met,teacher_social_total,count_toilets_children,child_dob_month,teacher_emotional_understand,pri_fees_amount_std_enum
ID_GQ6ONJ4FP,47.62580079961589,child_observe_total,teacher_emotional_total,child_observe_concentrated,child_observe_diligent,teacher_emotional_total_pri_fees_amount_multiply,child_observe_attentive,child_gender,count_register_year_2018_std_enum,child_date_day_mean_enum,teacher_emotional_understand,child_observe_interested,teacher_emotional_met,pra_agency_understand,id_facility,count_register_year_2020
ID_YZ76CVRW3,46.94376129362383,child_observe_diligent,child_observe_attentive,data_year_std_enum,child_observe_total,child_date_year_std_enum,count_toilets_children_std_prov,child_age_std_enum,child_age_mean,child_observe_total_mean_enum,pri_year_mean,child_observe_total_mean,teacher_social_total_mean_enum,count_staff_qual_nqf6_9_mean_prov,teacher_emotional_understand,child_observe_concentrated
ID_BNINCRXH8,69.08431393301184,child_observe_total,child_observe_concentrated,child_age,child_observe_diligent,child_observe_attentive,count_register_race_african_std_enum,pri_capacity,child_age_child_height_divide,child_gender,teacher_emotional_total,pri_funding_subsidy_mean_enum,child_date_month_std,count_register_year_2018_std_enum,child_years_in_programme,child_age_mean
ID_1U7GDTLRI,46.593815614395595,child_observe_total,child_observe_diligent,child_observe_attentive,count_register_race_std_enum,pri_funding_subsidy_mean_enum,id_facility,pri_fees_amount_std_enum,pri_fees_amount_pv_std,count_toilets_children_mean_prov,count_register_year_2020,id_ward_mean,teacher_emotional_understand,child_observe_interested,pri_attendance,child_zha_mean_enum
ID_HUPM6GALH,66.31917250982222,child_age,child_age_group,ward_best,ses_proxy,child_observe_diligent,child_age_std_enum,child_observe_total,id_facility,child_observe_attentive,child_observe_total_mean,child_age_mean,child_age_child_height_divide,child_gender,child_date_month_std,teacher_social_total_mean_enum
ID_RLC7D66D6,41.6837028691559,child_observe_total,child_observe_concentrated,child_observe_diligent,child_height,child_observe_attentive,child_zha,child_observe_interested,teacher_emotional_total,child_years_in_programme,pri_separate,teacher_emotional_met,child_observe_general,count_register_year_2020,pra_agency_choice,teacher_social_assistance
ID_3IDOXBRX5,44.752292090836164,child_observe_total,teacher_emotional_total,child_observe_diligent,child_zha,child_observe_attentive,child_date_month,child_gender,child_observe_interested,child_age_child_height_divide,child_years_in_programme,teacher_emotional_met,latitude_std,teacher_emotional_understand,teacher_emotional_selfstarter,count_children_present
ID_5HF27TNFX,50.073567284293844,child_observe_total,child_observe_concentrated,child_observe_diligent,child_observe_attentive,data_year_std_enum,teacher_social_total_mean_enum,child_zha,child_age_mean,child_age_std_enum,child_observe_total_mean_enum,child_date_year_std_enum,count_register_year_2020,teacher_emotional_understand,id_ward_n,teacher_emotional_total_mean_enum
ID_C9RZNXMYF,48.57074797895615,teacher_emotional_total,child_age,child_observe_diligent,child_observe_total,child_observe_attentive,teacher_emotional_met,child_enrollment_age,child_date_day_mean_enum,obs_materials,teacher_emotional_understand,teacher_emotional_total_pri_fees_amount_multiply,teacher_social_total,child_dob_month,teacher_emotional_independent,teacher_social_nonaggressive
