child_id,current_variable,current_elom,new_variable,new_elom,relevant_category_change,variable
ID_XT8I6HEVP,,54.29999047461205,0.0,55.233961888475726,Yellow to Green,count_register_race_white
ID_IL5M8MQX0,,42.74466505284081,0.0,43.64710552965853,Red to Yellow,count_register_race_white
ID_S20TKH1D5,,46.205342746043,0.0,46.34719908780888,Yellow to Green,count_register_race_white
ID_TH1HZEQ1L,,46.167173934460976,0.0,47.914941700049866,Yellow to Green,count_register_race_white
ID_8ZX1N6CG4,,53.577966546139,0.0,54.413603003201096,Yellow to Green,count_register_race_white
ID_5W5CRAKSG,,44.163436027572864,0.0,42.93472135631505,Yellow to Red,count_register_race_white
ID_3U9MQP8TM,,56.79310558838821,0.0,54.03973755006942,Green to Yellow,count_register_race_white
ID_A1HJW9DQN,,43.02253840430345,0.0,44.02788471207657,Red to Yellow,count_register_race_white
ID_D0DLKY5QK,,34.61514139045327,0.0,37.375512604960704,Red to Yellow,count_register_race_white
ID_IR9IW9561,,54.08774498686901,0.0,55.206373551469405,Yellow to Green,count_register_race_white
ID_N8D70IHCQ,,33.74290481985116,0.0,36.06161908606353,Red to Yellow,count_register_race_white
ID_7M06Y0D8D,,43.19180213770756,0.0,44.02336197871794,Red to Yellow,count_register_race_white
ID_X0V5RYDU2,,52.99848125069859,0.0,54.78249255179455,Yellow to Green,count_register_race_white
ID_7KI85HYXG,,43.89713638121047,0.0,43.092711909865,Yellow to Red,count_register_race_white
ID_ODU5PVFTT,,45.16622394633746,0.0,48.21406453476944,Yellow to Green,count_register_race_white
ID_Y4BNLT436,,54.45782094610859,0.0,54.0109710569534,Green to Yellow,count_register_race_white
ID_C03R1S4PW,,35.71723217722911,0.0,37.40387741510235,Red to Yellow,count_register_race_white
ID_03TK2WR12,,46.46299594261345,0.0,43.64453790004232,Green to Yellow,count_register_race_white
ID_ATU10I7UB,,54.43391536546185,0.0,52.65257746812732,Green to Yellow,count_register_race_white
ID_1IDKCZQXP,,35.64042422710842,0.0,36.08972280101754,Red to Yellow,count_register_race_white
ID_I5NIYYAZX,,34.19810232998512,0.0,36.50229341462685,Red to Yellow,count_register_race_white
ID_DTBWQB2G9,,46.26273476939592,0.0,47.16715418041416,Yellow to Green,count_register_race_white
ID_CQ0S20GVV,18.0,46.45167099529867,0.0,42.215871809261294,Green to Yellow,count_register_race_white
ID_H9I3DMXQV,,33.45988198600829,0.0,36.04772812037426,Red to Yellow,count_register_race_white
ID_ALQFKVY1U,,54.023639220124615,0.0,54.41480005527392,Yellow to Green,count_register_race_white
ID_WD0BUMAW3,,54.172009778759886,0.0,55.93367492003021,Yellow to Green,count_register_race_white
ID_QOGK7QE0V,,53.60603866607807,0.0,55.22176108347362,Yellow to Green,count_register_race_white
ID_4BOB6WG10,,46.74478300788611,0.0,45.84327281367066,Green to Yellow,count_register_race_white
