child_id,current_variable,current_elom,new_variable,new_elom,relevant_category_change,variable
ID_YZ76CVRW3,2.0,46.00735809242647,5.0,47.50717200089302,Yellow to Green,count_staff_all
ID_ABMQ8URI7,12.0,48.02812647828225,5.0,45.54185422907938,Green to Yellow,count_staff_all
ID_ZCMEZ9J1D,,45.31837346454423,7.0,42.94337824575759,Yellow to Red,count_staff_all
ID_W1TNT3GRG,3.0,35.7388754667494,5.0,36.96184810761142,Red to Yellow,count_staff_all
ID_X97ZIQ7EP,6.0,46.90639602471936,5.0,44.81929945368452,Green to Yellow,count_staff_all
ID_HSPOEP3KD,20.0,45.52939913386689,5.0,46.97780732022212,Yellow to Green,count_staff_all
ID_RWUE5E3GG,2.0,45.2371485844872,5.0,46.499851065803554,Yellow to Green,count_staff_all
ID_XT8I6HEVP,,54.29999047461205,7.0,56.12055749513041,Yellow to Green,count_staff_all
ID_H6C6R7EV0,4.0,34.18946114219853,5.0,36.421365788656544,Red to Yellow,count_staff_all
ID_T3KMB51H5,6.0,46.64531171542905,5.0,45.52116702808537,Green to Yellow,count_staff_all
ID_PDCOBP37G,9.0,54.346412454115296,7.0,55.209947591735975,Yellow to Green,count_staff_all
ID_FPEWP519B,2.0,35.48104036533992,5.0,37.23579006218966,Red to Yellow,count_staff_all
ID_ZQXQDRVG6,4.0,34.28603700233929,5.0,36.140946339095976,Red to Yellow,count_staff_all
ID_UR97D989W,6.0,41.66630444742348,7.0,43.39391240345976,Red to Yellow,count_staff_all
ID_QF1R03ZRV,4.0,46.73015903172436,5.0,44.678036778694434,Green to Yellow,count_staff_all
ID_TH1HZEQ1L,,46.167173934460976,5.0,47.34000148696525,Yellow to Green,count_staff_all
ID_MPIVP43SE,9.0,45.88019595562376,5.0,47.29264116080388,Yellow to Green,count_staff_all
ID_WRTKHKODC,3.0,47.86153989884853,5.0,45.81282780696277,Green to Yellow,count_staff_all
ID_7USJ9IHUD,6.0,46.55867388782498,5.0,45.12346047564462,Green to Yellow,count_staff_all
ID_A3IIB2KTO,,37.25576705055112,5.0,35.94946425472189,Yellow to Red,count_staff_all
ID_WQGHTCDNF,4.0,35.964530971377975,5.0,36.17709661767312,Red to Yellow,count_staff_all
ID_RFPRWLX2L,,41.7634741570581,7.0,43.85764559240373,Red to Yellow,count_staff_all
ID_T4K3COLKL,4.0,45.37816032046514,5.0,47.5155632078348,Yellow to Green,count_staff_all
ID_FIV1ORC7S,3.0,36.26050331450961,5.0,35.18223352274853,Yellow to Red,count_staff_all
ID_976RKJDB2,,33.893846590390496,5.0,36.14368528862049,Red to Yellow,count_staff_all
ID_L3UNNF5AK,,42.95458175193352,7.0,43.70962876110588,Red to Yellow,count_staff_all
ID_58JQIM36N,,52.39198619971799,7.0,54.449425972618656,Yellow to Green,count_staff_all
ID_TBGVVISVG,,48.522266258105695,5.0,45.91749713729712,Green to Yellow,count_staff_all
ID_D0DLKY5QK,,34.61514139045327,5.0,36.9171700996684,Red to Yellow,count_staff_all
ID_8JSH5UIGY,4.0,44.85607033524095,5.0,46.33526321431615,Yellow to Green,count_staff_all
ID_NZU52SWUG,4.0,36.15502749237657,5.0,34.0711185571734,Yellow to Red,count_staff_all
ID_TBID6SLEK,2.0,46.00681614338599,5.0,47.41636838668492,Yellow to Green,count_staff_all
ID_SOJB9XLOA,3.0,55.11841834479012,7.0,53.05950714942173,Green to Yellow,count_staff_all
ID_ERDTZ7TTK,,36.04806756285405,5.0,34.7592072818636,Yellow to Red,count_staff_all
ID_KBU5S1KKP,8.0,36.217986763448366,5.0,35.386370432973614,Yellow to Red,count_staff_all
ID_2L4P6KZ4S,3.0,37.17294365183031,5.0,35.86796213929357,Yellow to Red,count_staff_all
ID_6AOG0945S,6.0,48.589309413557245,5.0,46.21643852165407,Green to Yellow,count_staff_all
ID_1311QBPVE,,54.96000287757094,7.0,53.648316282947206,Green to Yellow,count_staff_all
ID_ODU5PVFTT,,45.16622394633746,5.0,46.37821740395862,Yellow to Green,count_staff_all
ID_OJVZD17ZD,4.0,36.29436433406259,5.0,35.835539110261635,Yellow to Red,count_staff_all
ID_ZQBRBUYGT,7.0,34.52684825970583,5.0,36.13355539021092,Red to Yellow,count_staff_all
ID_X0LCLSCC1,4.0,55.86576942827963,7.0,54.21848882933979,Green to Yellow,count_staff_all
ID_C03R1S4PW,,35.71723217722911,5.0,36.57075882964255,Red to Yellow,count_staff_all
ID_EI3JGD9IC,,55.37652258735064,7.0,54.341975528465895,Green to Yellow,count_staff_all
ID_MR8STQ2HU,4.0,35.06343187253339,5.0,36.633620859006726,Red to Yellow,count_staff_all
ID_03TK2WR12,6.0,46.46299594261345,5.0,46.11496427916617,Green to Yellow,count_staff_all
ID_OM8532X9S,,53.22058669567164,7.0,54.74777473417443,Yellow to Green,count_staff_all
ID_5OAW5SGTV,14.0,44.39724834033663,5.0,48.97102112187586,Yellow to Green,count_staff_all
ID_NFR9ME4WD,11.0,54.66913302777575,7.0,53.55010114639703,Green to Yellow,count_staff_all
ID_0WQKDH2C4,2.0,46.17929639338907,5.0,48.66339915186075,Yellow to Green,count_staff_all
ID_P7U2FFQU5,7.0,32.90090677981257,5.0,36.10435387863505,Red to Yellow,count_staff_all
ID_HFDD6CVHG,8.0,34.77087861187511,5.0,36.146325979710674,Red to Yellow,count_staff_all
ID_7OPA0UNZX,7.0,35.67336969007002,5.0,38.8790924316673,Red to Yellow,count_staff_all
ID_DTBWQB2G9,,46.26273476939592,5.0,47.66614204882429,Yellow to Green,count_staff_all
ID_HRH2M6VTV,10.0,35.58022335016149,5.0,36.13772222214068,Red to Yellow,count_staff_all
ID_08VBLZVKH,7.0,46.05507755605189,5.0,47.03701979772504,Yellow to Green,count_staff_all
ID_D13X7THMC,8.0,43.46379456362058,5.0,46.4758685148264,Yellow to Green,count_staff_all
ID_5VE6SH20H,,47.489865599700735,7.0,42.80832629478526,Yellow to Red,count_staff_all
ID_Q0ONVYCBQ,3.0,47.815767752225696,5.0,45.71158304541277,Green to Yellow,count_staff_all
ID_UUUY386BR,8.0,47.52301499300947,5.0,45.78718028829886,Green to Yellow,count_staff_all
ID_CQ0S20GVV,9.0,46.45167099529867,5.0,45.54883951478371,Green to Yellow,count_staff_all
ID_V319BNHQY,10.0,46.70106762722265,5.0,44.304909172407285,Green to Yellow,count_staff_all
ID_HUFP7B7OJ,10.0,55.18005611210656,7.0,54.293230203963454,Green to Yellow,count_staff_all
ID_HZYRO1Q10,,53.38103417749829,7.0,54.683335472877495,Yellow to Green,count_staff_all
ID_6DAYRRIVQ,7.0,35.46222816778976,5.0,36.40043158386505,Red to Yellow,count_staff_all
ID_ZIRW76KWX,2.0,45.313887726961866,5.0,46.38071476642148,Yellow to Green,count_staff_all
ID_BUTCK08V6,7.0,45.691202558057945,5.0,47.28523902197981,Yellow to Green,count_staff_all
ID_FBYNJ3R03,,54.28534758478935,7.0,54.66602930151932,Yellow to Green,count_staff_all
ID_E4X42GKAZ,6.0,44.967877460727074,5.0,46.9182409296902,Yellow to Green,count_staff_all
ID_828B3A0L6,4.0,36.69093858355714,5.0,34.113066698988334,Yellow to Red,count_staff_all
ID_683O3QNJ5,4.0,46.18687922807428,5.0,46.98863207061378,Yellow to Green,count_staff_all
ID_4AOXSR1BI,5.0,55.69681873450016,7.0,53.784457590725225,Green to Yellow,count_staff_all
ID_C4BUQ5NZL,3.0,35.31768426362953,5.0,36.24527370527922,Red to Yellow,count_staff_all
ID_8UH9OOISO,4.0,46.24027989417263,5.0,47.61968530374087,Yellow to Green,count_staff_all
ID_AYG0L4VN6,,54.77428945219433,7.0,53.51580894445711,Green to Yellow,count_staff_all
ID_8XF2VBGFS,,46.56443432546647,5.0,45.76296240436498,Green to Yellow,count_staff_all
ID_2UCKGNAYX,4.0,35.20619054485538,5.0,36.05905361240052,Red to Yellow,count_staff_all
ID_0WMJX17MM,4.0,47.06171263822138,5.0,43.977717756451725,Green to Yellow,count_staff_all
ID_VU5204Q7J,2.0,36.8004635071475,5.0,35.84564748791968,Yellow to Red,count_staff_all
ID_NDNB12NK8,,55.05507220853069,7.0,54.06852359720285,Green to Yellow,count_staff_all
ID_KOMVLA402,6.0,34.774613213569594,5.0,36.111049130030494,Red to Yellow,count_staff_all
ID_SYGL4TUUO,3.0,45.41254300435322,5.0,46.5539343191417,Yellow to Green,count_staff_all
ID_RSGWX3597,,46.16577672931055,5.0,47.48370379914649,Yellow to Green,count_staff_all
ID_FX5WB32DV,,35.102778577690785,5.0,36.61933795385233,Red to Yellow,count_staff_all
ID_VX5XN7OIB,8.0,35.087353397318296,5.0,36.83442633067136,Red to Yellow,count_staff_all
ID_X8KBBCWNK,9.0,40.05449899639105,5.0,35.86900702739331,Yellow to Red,count_staff_all
ID_4R29ZH0P8,14.0,45.95232450211543,5.0,47.46966567821023,Yellow to Green,count_staff_all
ID_F5X8FQETM,,55.2563725302402,7.0,53.13614902709698,Green to Yellow,count_staff_all
ID_OZEN44YZ6,16.0,35.730928656239215,5.0,36.204019851865226,Red to Yellow,count_staff_all
ID_1G22B1H3N,8.0,47.92421846430892,5.0,46.008346177805024,Green to Yellow,count_staff_all
ID_9L87931AK,3.0,38.765350009355686,5.0,35.70351266887916,Yellow to Red,count_staff_all
ID_TMVE0RDCA,,42.16357362420439,7.0,43.725484692592616,Red to Yellow,count_staff_all
ID_C52YUG7DO,8.0,47.5333762371266,5.0,45.74216734755101,Green to Yellow,count_staff_all
ID_JV7H74LTR,6.0,46.90231421218847,5.0,45.80329801347954,Green to Yellow,count_staff_all
ID_TE9JBRMGH,6.0,46.71000221491179,5.0,44.27404412162276,Green to Yellow,count_staff_all
ID_IZ5V8KODM,2.0,45.12677609765428,5.0,47.10473650341409,Yellow to Green,count_staff_all
ID_LM9L9DC4R,4.0,46.28129971937344,5.0,46.82394743843276,Yellow to Green,count_staff_all
ID_V7DAVUGFJ,,43.18444463104118,7.0,44.58538633421762,Red to Yellow,count_staff_all
ID_KXC5BWR4G,,55.872834880364216,7.0,51.938064097793365,Green to Yellow,count_staff_all
ID_KGIK41C33,7.0,46.81625619869847,5.0,46.15669584481926,Green to Yellow,count_staff_all
ID_5V7PE8ZEO,,53.72887630102973,7.0,54.9487178843253,Yellow to Green,count_staff_all
ID_4XFMZF180,4.0,35.72424849392934,5.0,36.17909568835353,Red to Yellow,count_staff_all
ID_EQJRUPX5J,6.0,35.911717190872594,5.0,36.101338008385774,Red to Yellow,count_staff_all
ID_TLDXNBVC3,8.0,33.816059573187374,5.0,36.30094919487324,Red to Yellow,count_staff_all
ID_A81HW28OJ,,35.0520302152687,5.0,36.12571736637768,Red to Yellow,count_staff_all
ID_AKZILA2W2,4.0,45.8871131828849,5.0,46.88464202067833,Yellow to Green,count_staff_all
ID_R7XRON50V,4.0,34.73431870879031,5.0,37.25664797506505,Red to Yellow,count_staff_all
ID_H4FZD2UET,6.0,45.150058116425015,5.0,46.74739962183071,Yellow to Green,count_staff_all
ID_18XCJY57E,3.0,36.73747886544109,5.0,34.390595437084045,Yellow to Red,count_staff_all
