child_id,child_age_group,count_children_present
ID_0I0999N6S,50-59 months,29.0
ID_GQ6ONJ4FP,50-59 months,29.0
ID_YZ76CVRW3,50-59 months,29.0
ID_BNINCRXH8,50-59 months,29.0
ID_1U7GDTLRI,50-59 months,29.0
ID_HUPM6GALH,60-69 months,40.0
ID_RLC7D66D6,50-59 months,29.0
ID_3IDOXBRX5,50-59 months,29.0
ID_5HF27TNFX,50-59 months,29.0
ID_C9RZNXMYF,50-59 months,29.0
ID_63GVO6496,50-59 months,29.0
ID_MQDKXQO9R,50-59 months,29.0
ID_8NHEV4JYV,50-59 months,29.0
ID_49Q0B09ZE,60-69 months,40.0
ID_OFDARJRN8,50-59 months,29.0
ID_SUUJWQCUK,60-69 months,40.0
ID_LSRZPR784,50-59 months,29.0
ID_W0L3EEXNX,50-59 months,29.0
ID_O5WURWYLF,50-59 months,29.0
ID_EQAZQ4SZ7,60-69 months,40.0
ID_UXL36DZL7,50-59 months,29.0
ID_WCDXTO0HT,50-59 months,29.0
ID_B6TIIEIQJ,50-59 months,29.0
ID_7UZ66G4L8,50-59 months,29.0
ID_WYP2V4JWK,50-59 months,29.0
ID_HEKRYM1A4,50-59 months,29.0
ID_6R9STZK86,50-59 months,29.0
ID_ABMQ8URI7,50-59 months,29.0
ID_W1X2S8XHA,60-69 months,40.0
ID_51ON1WCV7,50-59 months,29.0
ID_CEM6103TG,50-59 months,29.0
ID_L9JKBJLMK,50-59 months,29.0
ID_ZCMEZ9J1D,60-69 months,40.0
ID_OZL0JA0FH,50-59 months,29.0
ID_W1TNT3GRG,50-59 months,29.0
ID_EO78K6JAR,50-59 months,29.0
ID_GG9WIQ0CG,50-59 months,29.0
ID_JZEFKYXAV,50-59 months,29.0
ID_QA1OOY2G8,50-59 months,29.0
ID_EMK8OCWAH,50-59 months,29.0
ID_NAHD74339,50-59 months,29.0
ID_BOWZ3YIOO,50-59 months,29.0
ID_MXOBC0CYK,60-69 months,40.0
ID_M143FEUB7,60-69 months,40.0
ID_6DPIOJQCP,50-59 months,29.0
ID_J3IHCPIMI,50-59 months,29.0
ID_FZRK4J9KM,50-59 months,29.0
ID_HLBUOAQYR,50-59 months,29.0
ID_10RWYRUNR,60-69 months,40.0
ID_2TZCX6Z9V,50-59 months,29.0
ID_RWTUYHWTO,60-69 months,40.0
ID_A39RYS3HX,60-69 months,40.0
ID_7C8Y2CJBR,60-69 months,40.0
ID_FRVNI8YMR,60-69 months,40.0
ID_4JEAIUAUA,60-69 months,40.0
ID_SALADXKQT,50-59 months,29.0
ID_O0AG71MDY,50-59 months,29.0
ID_QGE7V5K75,60-69 months,40.0
ID_X97ZIQ7EP,50-59 months,29.0
ID_Q8S2W8XPA,50-59 months,29.0
ID_QP8T95W8J,60-69 months,40.0
ID_52RWH3K6I,50-59 months,29.0
ID_GH4W2DKQS,50-59 months,29.0
ID_ZU4Y7EM9C,50-59 months,29.0
ID_MX4557TBH,60-69 months,40.0
ID_LY68RY4JJ,50-59 months,29.0
ID_CU45XJ5DV,60-69 months,40.0
ID_A66BF9YH8,50-59 months,29.0
ID_HSPOEP3KD,50-59 months,29.0
ID_DEV35TSU5,60-69 months,40.0
ID_FOINQRYBP,50-59 months,29.0
ID_QLU47WOXG,50-59 months,29.0
ID_AXZQCM89S,50-59 months,29.0
ID_UEI4Q7E5L,50-59 months,29.0
ID_S23WCQAY9,50-59 months,29.0
ID_U3E297NA8,50-59 months,29.0
ID_TLX39P87H,50-59 months,29.0
ID_Z2IN7EBF0,50-59 months,29.0
ID_A9VYB3HAP,50-59 months,29.0
ID_8RSR63TDR,50-59 months,29.0
ID_G8LXFG5SP,50-59 months,29.0
ID_W8KOIY49Q,50-59 months,29.0
ID_79GHY8Z5B,60-69 months,40.0
ID_1NE8VRSON,50-59 months,29.0
ID_AN47TRU98,60-69 months,40.0
ID_SNCCSAF4T,50-59 months,29.0
ID_P7XX71DOU,50-59 months,29.0
ID_FSQ52WIY8,50-59 months,29.0
ID_QE3DVIHMK,50-59 months,29.0
ID_V5RV7ZBQ0,50-59 months,29.0
ID_SS78PTNRJ,50-59 months,29.0
ID_MJTE36ZC6,50-59 months,29.0
ID_4PMOMSD12,50-59 months,29.0
ID_473FVOOMF,60-69 months,40.0
ID_PPNIV7TLE,50-59 months,29.0
ID_P1RH69GYO,50-59 months,29.0
ID_9EOEKVOYD,50-59 months,29.0
ID_MLI98T93U,60-69 months,40.0
ID_K1CPW0PNS,60-69 months,40.0
ID_DJYXVVUS4,50-59 months,29.0
ID_EY7I49PBQ,60-69 months,40.0
ID_2HW7CA9LD,50-59 months,29.0
ID_UWCU28B09,60-69 months,40.0
ID_T35ZUX9FE,60-69 months,40.0
ID_07XHLCP68,50-59 months,29.0
ID_0ICPNDX5R,60-69 months,40.0
ID_911PIXSUB,60-69 months,40.0
ID_J399S62UJ,60-69 months,40.0
ID_7JJTDBXCL,50-59 months,29.0
ID_J6JOI58LF,60-69 months,40.0
ID_RAC1U3U0F,50-59 months,29.0
ID_SV844O07J,60-69 months,40.0
ID_RWUE5E3GG,50-59 months,29.0
ID_IWB7VPZ2F,50-59 months,29.0
ID_XT8I6HEVP,60-69 months,40.0
ID_2F0SD7AKN,60-69 months,40.0
ID_XFEWCGGYJ,50-59 months,29.0
