child_id,target,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15
ID_0I0999N6S,57.83976854641527,child_observe_total,teacher_emotional_total,teacher_emotional_total_pri_fees_amount_pv_multiply,child_observe_diligent,child_observe_attentive,child_gender,teacher_emotional_total_pri_fees_amount_multiply,child_observe_interested,pri_fees_amount_pv_count,child_observe_general,teacher_social_total,child_zha_std_enum,teacher_emotional_understand,count_children_present,teacher_emotional_met
ID_GQ6ONJ4FP,48.01945351241846,child_observe_total,teacher_emotional_total,child_observe_diligent,child_observe_attentive,child_observe_concentrated,child_gender,teacher_emotional_understand,teacher_emotional_total_pri_fees_amount_pv_multiply,teacher_emotional_met,child_observe_interested,count_register_year_2020,child_zha_std_enum,child_dob_day_mean,teacher_emotional_selfstarter,child_date_day_mean_enum
ID_YZ76CVRW3,46.248969233220336,child_observe_diligent,pri_funding_subsidy_mean,child_observe_attentive,child_date_year_std_enum,child_observe_concentrated,child_observe_total_mean,child_date_month_std_enum,child_observe_total,child_observe_total_mean_enum,count_staff_qual_nqf6_9_std_prov,data_year_std_enum,teacher_emotional_understand,child_dob_year_mean_enum,teacher_emotional_selfstarter,child_dob_day_std
ID_BNINCRXH8,70.683431279602,child_observe_total,child_age,child_observe_attentive,child_observe_concentrated,child_observe_diligent,pri_capacity,pri_funding_subsidy_mean,child_age_child_height_divide,child_gender,count_register_race_std_enum,child_date_day_std_enum,count_register_race_african_std_enum,child_observe_total_mean,child_age_std,child_years_in_programme
ID_1U7GDTLRI,45.4620069337117,child_observe_total,child_observe_diligent,pri_funding_subsidy_mean,child_observe_attentive,pri_fees_amount_std_enum,id_facility,id_ward_mean,count_staff_salary_std,count_staff_contract_std_enum,count_staff_gender_std_enum,teacher_emotional_understand,count_staff_all_std,child_observe_concentrated,count_staff_contract_std,count_register_year_2020
ID_HUPM6GALH,65.4921414661536,child_age,child_observe_diligent,ward_best,child_age_group,id_facility,ses_proxy,child_age_std_enum,child_observe_attentive,child_age_child_height_divide,child_observe_total,pri_funding_subsidy_mean,child_observe_total_mean,child_observe_total_mean_enum,child_gender,child_observe_concentrated
ID_RLC7D66D6,41.553701441099236,child_observe_total,child_height,child_observe_diligent,child_observe_attentive,child_observe_concentrated,child_years_in_programme,teacher_emotional_met,teacher_emotional_total,latitude_longitude_divide,child_observe_interested,child_observe_general,pra_agency_choice,child_zha,teacher_social_peers,count_register_year_2020
ID_3IDOXBRX5,43.822987104861156,child_observe_total,teacher_emotional_total,child_observe_diligent,child_observe_attentive,child_zha,child_date_month,child_gender,child_age_child_height_divide,child_observe_interested,teacher_emotional_met,obs_materials_12,teacher_emotional_understand,count_register_year_2020,child_years_in_programme,teacher_social_peers
ID_5HF27TNFX,49.24588144893949,child_observe_total,child_observe_concentrated,child_observe_diligent,child_zha_std,child_date_year_std_enum,child_observe_total_mean,child_observe_attentive,data_year_std_enum,child_observe_total_mean_enum,child_date_month_std_enum,teacher_emotional_understand,count_register_year_2020,child_zha_std_enum,child_date_day_std_enum,count_register_year_2019_std
ID_C9RZNXMYF,47.952141754423515,teacher_emotional_total,child_age,child_observe_diligent,child_observe_attentive,child_observe_total,teacher_emotional_understand,child_date_day_std_enum,obs_materials,child_enrollment_age,teacher_emotional_met,teacher_social_peers,child_date_day_mean_enum,child_observe_concentrated,teacher_social_nonaggressive,count_register_year_2019_std
