child_id,current_variable,current_elom,new_variable,new_elom,relevant_category_change,variable
ID_B6TIIEIQJ,,47.28711231462549,2.0,45.99402814453455,Green to Yellow,teacher_duration
ID_W1TNT3GRG,,35.7388754667494,2.0,37.4207296227254,Red to Yellow,teacher_duration
ID_GH4W2DKQS,1.0,46.69613185040053,2.0,44.518154883401714,Green to Yellow,teacher_duration
ID_T35ZUX9FE,,54.66782899766302,0.0,53.9737610834634,Green to Yellow,teacher_duration
ID_911PIXSUB,3.0,42.03095810677131,0.0,44.16890750354482,Red to Yellow,teacher_duration
ID_XT8I6HEVP,3.5833332538604736,54.29999047461205,0.0,55.38269921514602,Yellow to Green,teacher_duration
ID_XFEWCGGYJ,,46.58712206880431,2.0,46.17903842631576,Green to Yellow,teacher_duration
ID_Y1KKIXLGR,3.383333444595337,43.41382781136605,2.0,47.58035606038823,Yellow to Green,teacher_duration
ID_0B48Q9WLD,4.0,54.62069325666988,0.0,53.49360210000868,Green to Yellow,teacher_duration
ID_T3KMB51H5,,46.64531171542905,2.0,44.19610335265129,Green to Yellow,teacher_duration
ID_66ZWO6HIR,3.866666555404663,45.28964249393943,2.0,46.70876473231765,Yellow to Green,teacher_duration
ID_FPEWP519B,,35.48104036533992,2.0,36.17572701139902,Red to Yellow,teacher_duration
ID_BPY0XS9HE,1.0,47.21840276989839,2.0,45.96179013625876,Green to Yellow,teacher_duration
ID_IL5M8MQX0,,42.74466505284081,0.0,43.308691774949445,Red to Yellow,teacher_duration
ID_03PTDDHX0,,37.13851159710005,2.0,35.441122798929754,Yellow to Red,teacher_duration
ID_JCP3JRWBL,,46.68180626883692,2.0,45.3331535757052,Green to Yellow,teacher_duration
ID_R4DMZSKSM,,36.16819073480063,2.0,35.53613580717825,Yellow to Red,teacher_duration
ID_QF1R03ZRV,,46.73015903172436,2.0,45.4996239705514,Green to Yellow,teacher_duration
ID_TH1HZEQ1L,0.0,46.167173934460976,2.0,47.67920581847888,Yellow to Green,teacher_duration
ID_ET6K6HL2Z,,42.41324852756548,0.0,43.69213268741973,Red to Yellow,teacher_duration
ID_WRTKHKODC,,47.86153989884853,2.0,46.24186207107183,Green to Yellow,teacher_duration
ID_7USJ9IHUD,,46.55867388782498,2.0,45.516219255548805,Green to Yellow,teacher_duration
ID_RFPRWLX2L,,41.7634741570581,0.0,44.07135032095215,Red to Yellow,teacher_duration
ID_SIP0PS2WS,,47.67013462928004,2.0,45.08898845923611,Green to Yellow,teacher_duration
ID_T4K3COLKL,0.0,45.37816032046514,2.0,46.37888086537044,Yellow to Green,teacher_duration
ID_ZG8KT7QG9,,36.86884024263766,2.0,34.80514489293641,Yellow to Red,teacher_duration
ID_9A2EE21M0,6.633333206176758,44.990139906810434,2.0,46.34585476055504,Yellow to Green,teacher_duration
ID_17IY2MZEG,,48.15577886345194,2.0,46.01918343366688,Green to Yellow,teacher_duration
ID_TBGVVISVG,3.0,48.522266258105695,2.0,45.716181098819945,Green to Yellow,teacher_duration
ID_D0DLKY5QK,6.0,34.61514139045327,2.0,39.29798795163606,Red to Yellow,teacher_duration
ID_XJNLLONEH,4.0,46.02336529310647,2.0,47.26217149923141,Yellow to Green,teacher_duration
ID_P27VC7L23,4.0,38.71226680222125,2.0,35.346459036969875,Yellow to Red,teacher_duration
ID_NZU52SWUG,,36.15502749237657,2.0,34.904268936228554,Yellow to Red,teacher_duration
ID_TBID6SLEK,,46.00681614338599,2.0,46.89180180804821,Yellow to Green,teacher_duration
ID_SOJB9XLOA,2.0,55.11841834479012,0.0,52.82124210400922,Green to Yellow,teacher_duration
ID_KBU5S1KKP,3.0,36.217986763448366,2.0,34.35345795597553,Yellow to Red,teacher_duration
ID_2L4P6KZ4S,,37.17294365183031,2.0,34.649252349340074,Yellow to Red,teacher_duration
ID_3RLHTE3J2,,37.19529729818227,2.0,35.77758845957275,Yellow to Red,teacher_duration
ID_JXOFMQBH0,0.0,48.134236888013646,2.0,45.493326190814216,Green to Yellow,teacher_duration
ID_ODU5PVFTT,0.0,45.16622394633746,2.0,48.16375897163978,Yellow to Green,teacher_duration
ID_LRLNZO2RA,,37.923670402067735,2.0,33.48892806523961,Yellow to Red,teacher_duration
ID_Y4BNLT436,,54.45782094610859,0.0,54.20417433048337,Green to Yellow,teacher_duration
ID_C03R1S4PW,0.0,35.71723217722911,2.0,36.33081184305836,Red to Yellow,teacher_duration
ID_76L3674HL,,55.616156538551145,0.0,54.19005268703433,Green to Yellow,teacher_duration
ID_CJULXDSOZ,,38.12852642497069,2.0,35.45739371730052,Yellow to Red,teacher_duration
ID_X1HGMSRCP,,57.093674184850656,0.0,54.02449405221176,Green to Yellow,teacher_duration
ID_96KWMTFDZ,,47.62111774902049,2.0,45.96302915839696,Green to Yellow,teacher_duration
ID_I03ZBTSM3,,36.79265328223205,2.0,35.864959785521066,Yellow to Red,teacher_duration
